school,region,pct_eds,spg_score,enrollment,spg_grade
Beaver Dam Elementary,Sandhills,58.2,91.0,90.0,A
Jack Britt High,Sandhills,38.4,80.0,1854.0,B
Brentwood Elementary,Sandhills,72.2,53.0,486.0,D
Douglas Byrd Middle,Sandhills,72.8,38.0,932.0,F
Douglas Byrd High,Sandhills,68.8,58.0,885.0,C
Cape Fear High,Sandhills,49.8,75.0,1451.0,B
Elizabeth M Cashwell Elementary,Sandhills,70.8,47.0,583.0,D
Eastover-Central Elementary,Sandhills,43.6,76.0,382.0,B
Anne Chesnutt Middle,Sandhills,59.8,56.0,466.0,C
Cliffdale Elementary,Sandhills,68.9,46.0,595.0,D
College Lakes Elementary,Sandhills,70.4,50.0,459.0,D
C Wayne Collier Elementary,Sandhills,62.2,61.0,473.0,C
J W Coon Elementary,Sandhills,72.1,46.0,196.0,D
Cumberland International Early College,Sandhills,54.9,94.0,268.0,A
Cumberland Mills Elementary,Sandhills,66.0,52.0,557.0,D
Cumberland Road Elementary,Sandhills,70.7,54.0,312.0,D
Cross Creek Early College,Sandhills,57.8,97.0,244.0,A
District No 7 Elementary,Sandhills,37.3,59.0,179.0,C
Gray's Creek High,Sandhills,42.7,68.0,1350.0,C
Luther Nick Jeralds Middle,Sandhills,75.7,45.0,600.0,D
E E Smith High,Sandhills,60.8,60.0,958.0,C
Ferguson-Easley Elementary,Sandhills,86.9,43.0,360.0,D
Gray's Creek Middle,Sandhills,50.4,60.0,1119.0,C
Glendale Acres Elementary,Sandhills,59.3,60.0,205.0,C
Alderman Road Elementary,Sandhills,47.8,58.0,621.0,C
R Max Abbott Middle,Sandhills,52.6,54.0,740.0,D
Howard L Hall Elementary,Sandhills,39.1,65.0,598.0,C
Bill Hefner Elementary,Sandhills,60.2,50.0,652.0,D
Hope Mills Middle,Sandhills,56.1,60.0,507.0,C
John R Griffin Middle,Sandhills,39.9,67.0,1089.0,C
Ed V Baldwin Elementary,Sandhills,61.1,45.0,560.0,D
Lewis Chapel Middle,Sandhills,72.8,49.0,578.0,D
Gallberry Farm Elementary,Sandhills,43.0,62.0,884.0,C
Gray's Creek Elementary,Sandhills,31.2,75.0,437.0,B
Long Hill Elementary,Sandhills,38.9,70.0,436.0,B
Lucile Souders Elementary,Sandhills,77.2,45.0,393.0,D
Mac Williams Middle,Sandhills,57.6,52.0,1152.0,D
Margaret Willis Elementary,Sandhills,78.6,50.0,276.0,D
Massey Hill Classical High,Sandhills,42.4,86.0,259.0,A
Mary McArthur Elementary,Sandhills,71.9,56.0,360.0,C
E Melvin Honeycutt Elementary,Sandhills,49.6,70.0,845.0,B
E E Miller Elementary,Sandhills,48.3,57.0,592.0,C
Montclair Elementary,Sandhills,67.5,54.0,398.0,D
Morganton Road Elementary,Sandhills,63.6,52.0,499.0,D
Manchester Elementary,Sandhills,77.7,54.0,266.0,D
New Century International Elementary,Sandhills,45.6,60.0,646.0,C
William H Owen Elementary,Sandhills,67.8,59.0,405.0,C
Walker-Spivey Elementary,Sandhills,88.7,41.0,264.0,D
Pine Forest Middle,Sandhills,55.3,59.0,729.0,C
Lake Rim Elementary,Sandhills,55.7,53.0,616.0,D
Pine Forest High,Sandhills,61.5,74.0,1516.0,B
Ponderosa Elementary,Sandhills,59.7,65.0,335.0,C
Reid Ross Classical High,Sandhills,74.8,71.0,216.0,B
Raleigh Road Elementary,Sandhills,38.2,70.0,213.0,B
Benjamin J Martin Elementary,Sandhills,71.2,42.0,507.0,D
Rockfish Elementary,Sandhills,54.3,70.0,665.0,B
J W Seabrook Elementary,Sandhills,65.2,64.0,251.0,C
New Century International Middle,Sandhills,55.5,69.0,389.0,C
Seventy-First Classical Middle,Sandhills,55.8,75.0,422.0,B
Reid Ross Classical Middle,Sandhills,74.4,63.0,220.0,C
Seventy-First High,Sandhills,70.8,56.0,1296.0,C
South View Middle,Sandhills,62.2,53.0,640.0,D
Sherwood Park Elementary,Sandhills,75.6,64.0,258.0,C
South View High,Sandhills,68.0,57.0,1433.0,C
Spring Lake Middle,Sandhills,74.3,47.0,508.0,D
Stedman Elementary,Sandhills,47.7,72.0,275.0,B
Stedman Primary,Sandhills,43.4,72.0,156.0,B
Stoney Point Elementary,Sandhills,38.6,71.0,877.0,B
Sunnyside Elementary,Sandhills,69.4,58.0,331.0,C
Terry Sanford High,Sandhills,57.3,60.0,1185.0,C
Vanstory Hills Elementary,Sandhills,36.4,75.0,472.0,B
Warrenwood Elementary,Sandhills,69.0,46.0,371.0,D
Westarea Elementary,Sandhills,72.5,45.0,539.0,D
Westover Middle,Sandhills,68.4,57.0,787.0,C
Westover High,Sandhills,61.7,58.0,1155.0,C
William T Brown Elementary,Sandhills,75.3,46.0,559.0,D
Cumberland Virtual Academy 6-12,Sandhills,66.5,63.0,547.0,C
Cumberland Virtual Academy K-5,Sandhills,5.8,48.0,377.0,D
Cumberland Polytechnic,Sandhills,43.2,94.0,284.0,A
Alpha Academy,Sandhills,30.8,74.0,862.0,B
The Capitol Encore Academy,Sandhills,59.1,54.0,489.0,D
Central Elementary,Northeast,40.4,61.0,237.0,C
Currituck County High,Northeast,34.1,65.0,1036.0,C
Currituck County Middle,Northeast,44.2,63.0,358.0,C
Jarvisburg Elementary,Northeast,56.4,73.0,259.0,B
Shawboro Elementary School,Northeast,34.1,66.0,609.0,C
The JP Knapp ECH (i)School,Northeast,21.3,90.0,256.0,A
Knotts Island Elementary,Northeast,30.4,73.0,105.0,B
Moyock Elementary,Northeast,16.3,65.0,724.0,C
Moyock Middle,Northeast,27.8,70.0,612.0,B
W T Griggs Elementary,Northeast,57.3,72.0,223.0,B
Water's Edge Village School,Northeast,5.0,75.0,38.0,B
Cape Hatteras Elementary School,Northeast,53.0,59.0,297.0,C
Cape Hatteras Secondary School,Northeast,48.7,68.0,353.0,C
Kitty Hawk Elementary School,Northeast,18.0,75.0,451.0,B
Nags Head Elementary School,Northeast,43.1,68.0,489.0,C
Manteo Elementary School,Northeast,53.0,53.0,627.0,D
Manteo High School,Northeast,40.0,74.0,549.0,B
Manteo Middle School,Northeast,46.9,64.0,373.0,C
First Flight Elementary School,Northeast,50.4,59.0,293.0,C
First Flight Middle School,Northeast,33.7,74.0,610.0,B
First Flight High School,Northeast,28.5,82.0,927.0,B
Brier Creek Elementary,Piedmont Triad,69.3,65.0,204.0,C
Northwest Elementary,Piedmont Triad,35.6,71.0,581.0,B
Southmont Elementary,Piedmont Triad,68.3,58.0,281.0,C
Central Davidson High,Piedmont Triad,48.3,62.0,865.0,C
Central Davidson Middle,Piedmont Triad,60.6,65.0,671.0,C
Churchland Elementary,Piedmont Triad,68.9,53.0,382.0,D
Davidson Early College,Piedmont Triad,37.5,96.0,131.0,A
Davis-Townsend Elementary,Piedmont Triad,52.8,66.0,404.0,C
Denton Elementary,Piedmont Triad,66.8,63.0,384.0,C
E Lawson Brown Middle,Piedmont Triad,62.2,53.0,534.0,D
East Davidson High,Piedmont Triad,53.5,64.0,741.0,C
Fair Grove Elementary,Piedmont Triad,60.9,60.0,510.0,C
Friedberg Elementary,Piedmont Triad,36.6,69.0,435.0,C
Hasty Elementary,Piedmont Triad,69.6,72.0,416.0,B
Friendship Elementary,Piedmont Triad,38.8,71.0,465.0,B
Ledford Middle,Piedmont Triad,52.4,59.0,597.0,C
Ledford Senior High,Piedmont Triad,42.7,68.0,816.0,C
Midway Elementary,Piedmont Triad,45.7,64.0,484.0,C
North Davidson High,Piedmont Triad,37.7,69.0,878.0,C
Oak Grove High,Piedmont Triad,30.0,73.0,949.0,B
North Davidson Middle,Piedmont Triad,43.6,74.0,702.0,B
Oak Grove Middle,Piedmont Triad,37.1,60.0,719.0,C
Pilot Elementary,Piedmont Triad,69.6,64.0,356.0,C
Reeds Elementary,Piedmont Triad,66.9,60.0,267.0,C
Silver Valley Elementary,Piedmont Triad,79.0,52.0,228.0,D
South Davidson Middle and High,Piedmont Triad,61.3,63.0,657.0,C
Southwood Elementary,Piedmont Triad,65.0,69.0,578.0,C
Tyro Elementary,Piedmont Triad,62.8,54.0,406.0,D
Tyro Middle,Piedmont Triad,59.4,56.0,563.0,C
Wallburg Elementary,Piedmont Triad,43.1,66.0,752.0,C
Welcome Elementary,Piedmont Triad,58.2,56.0,591.0,C
West Davidson High,Piedmont Triad,51.0,63.0,704.0,C
Yadkin Valley Regional Career Academy,Piedmont Triad,46.4,77.0,155.0,B
Charles England Elementary School,Piedmont Triad,76.8,47.0,339.0,D
Lexington Middle School,Piedmont Triad,72.8,52.0,648.0,D
Lexington Senior High School,Piedmont Triad,66.1,63.0,893.0,C
Pickett Elementary School,Piedmont Triad,76.1,49.0,392.0,D
South Lexington School,Piedmont Triad,82.3,47.0,200.0,D
Southwest Elementary Global Academy,Piedmont Triad,77.1,59.0,377.0,C
Liberty Drive Elementary,Piedmont Triad,73.0,48.0,357.0,D
Thomasville Primary,Piedmont Triad,79.9,44.0,680.0,D
Thomasville Middle,Piedmont Triad,65.8,34.0,487.0,F
Thomasville High,Piedmont Triad,65.7,53.0,602.0,D
Davidson Charter Academy,Piedmont Triad,29.6,53.0,442.0,D
Cooleemee Elementary,Piedmont Triad,77.9,56.0,456.0,C
Cornatzer Elementary,Piedmont Triad,57.8,52.0,334.0,D
Davie County High,Piedmont Triad,42.5,63.0,1712.0,C
Davie County Early College High,Piedmont Triad,50.4,78.0,125.0,B
Davie County Virtual School,Piedmont Triad,57.1,58.0,34.0,C
Mocksville Elementary,Piedmont Triad,66.0,63.0,527.0,C
North Davie Middle,Piedmont Triad,49.8,71.0,436.0,B
Pinebrook Elementary,Piedmont Triad,47.2,64.0,445.0,C
Shady Grove Elementary,Piedmont Triad,23.3,82.0,484.0,B
South Davie Middle,Piedmont Triad,67.6,56.0,534.0,C
William R Davie Elementary,Piedmont Triad,55.0,67.0,358.0,C
William Ellis Middle,Piedmont Triad,31.0,76.0,452.0,B
B F Grady Elementary,Southeast,53.1,50.0,845.0,D
Beulaville Elementary,Southeast,58.7,45.0,808.0,D
Chinquapin Elementary,Southeast,50.4,54.0,509.0,D
Warsaw Elementary,Southeast,68.6,39.0,751.0,F
Duplin Early College High,Southeast,47.2,81.0,202.0,B
East Duplin High,Southeast,41.7,60.0,837.0,C
James Kenan High,Southeast,55.1,53.0,767.0,D
Kenansville Elementary,Southeast,57.3,52.0,571.0,D
North Duplin Elementary,Southeast,51.7,60.0,670.0,C
North Duplin Jr Sr High,Southeast,46.8,65.0,604.0,C
Rose Hill-Magnolia Elementary,Southeast,59.2,40.0,1083.0,D
Wallace Elementary,Southeast,58.2,37.0,1105.0,F
Wallace-Rose Hill High,Southeast,48.7,50.0,783.0,D
Bethesda Elementary,North Central,59.5,52.0,620.0,D
Brogden Middle,North Central,54.4,46.0,750.0,D
Burton Elementary,North Central,55.0,73.0,284.0,B
J D Clement Early College HS,North Central,47.4,93.0,389.0,A
Eastway Elementary,North Central,71.8,52.0,390.0,D
C E Jordan High,North Central,40.9,67.0,1931.0,C
Easley Elementary,North Central,37.0,76.0,450.0,B
The School for Creative Studies,North Central,57.1,61.0,513.0,C
Eno Valley Elementary,North Central,63.5,53.0,538.0,D
George L Carrington Middle,North Central,72.8,51.0,758.0,D
City of Medicine Academy,North Central,62.5,93.0,331.0,A
Club Boulevard Elementary,North Central,43.1,66.0,385.0,C
Creekside Elementary,North Central,51.7,54.0,549.0,D
Glenn Elementary,North Central,55.6,59.0,578.0,C
Durham School of the Arts,North Central,35.4,81.0,1682.0,B
Hillandale Elementary,North Central,67.0,47.0,518.0,D
Hillside High,North Central,56.1,53.0,1439.0,D
Hope Valley Elementary,North Central,67.3,55.0,634.0,C
Holt Elementary,North Central,80.7,56.0,624.0,C
Forest View Elementary,North Central,59.7,60.0,644.0,C
James E Shepard Middle,North Central,78.2,60.0,376.0,C
Lakewood Elementary,North Central,52.4,49.0,370.0,D
Little River Elementary,North Central,48.2,62.0,360.0,C
Lakewood Montessori Middle,North Central,30.6,86.0,303.0,A
Lucas Middle,North Central,74.9,50.0,380.0,D
Fayetteville Street Elementary,North Central,63.2,51.0,222.0,D
Lowe's Grove Middle,North Central,76.3,34.0,687.0,F
George Watts Elementary,North Central,31.0,70.0,272.0,B
Mangum Elementary,North Central,43.7,78.0,291.0,B
Lyons Farm Elementary,North Central,29.7,75.0,442.0,B
Merrick-Moore Elementary,North Central,55.7,59.0,545.0,C
Middle College HS @ DTCC,North Central,21.2,93.0,102.0,A
Morehead Montessori,North Central,36.3,76.0,199.0,B
Neal Middle,North Central,51.9,42.0,777.0,D
Northern High,North Central,63.1,52.0,1268.0,D
Oak Grove Elementary,North Central,79.3,69.0,456.0,C
Parkwood Elementary,North Central,70.0,41.0,584.0,D
E K Powe Elementary,North Central,49.9,57.0,390.0,C
Pearsontown Elementary,North Central,28.2,75.0,696.0,B
Riverside High,North Central,51.5,62.0,1730.0,C
Sherwood Githens Middle,North Central,59.7,58.0,758.0,C
R N Harris Elementary,North Central,59.2,52.0,277.0,D
Southern School of Energy and Sustainabi,North Central,50.6,49.0,1240.0,D
Sandy Ridge Elementary,North Central,71.7,50.0,459.0,D
Rogers-Herr Middle,North Central,47.6,73.0,638.0,B
Southwest Elementary,North Central,53.5,68.0,652.0,C
C C Spaulding Elementary,North Central,61.7,50.0,213.0,D
Spring Valley Elementary,North Central,57.0,60.0,510.0,C
W G Pearson Elementary,North Central,62.4,53.0,319.0,D
Y E Smith Elementary,North Central,64.7,36.0,275.0,F
Ignite Online Academy,North Central,16.5,50.0,438.0,D
Durham School of Technology,North Central,39.3,80.0,244.0,B
Maureen Joy Charter School,North Central,86.7,57.0,623.0,C
Durham Charter School,North Central,48.6,68.0,488.0,C
Community School of Digital & Visual Art,North Central,70.5,40.0,202.0,D
Kestrel Heights School,North Central,26.7,53.0,490.0,D
Research Triangle Charter,North Central,67.3,46.0,735.0,D
Central Park School For Children,North Central,28.9,59.0,609.0,C
Voyager Academy,North Central,9.8,76.0,1353.0,B
Global Scholars Academy,North Central,95.0,47.0,198.0,D
Research Triangle High School,North Central,5.0,83.0,581.0,B
The Institute Development Young Leaders,North Central,44.3,59.0,369.0,C
Reaching All Minds Academy,North Central,21.1,65.0,307.0,C
Excelsior Classical Academy,North Central,20.7,54.0,976.0,D
KIPP Durham College Preparatory,North Central,70.1,45.0,351.0,D
Discovery Charter,North Central,33.9,58.0,324.0,C
G W Bulluck Elementary,North Central,79.4,47.0,560.0,D
G W Carver Elementary,North Central,67.9,62.0,545.0,C
Coker-Wimberly Elementary,North Central,73.3,41.0,231.0,D
Edgecombe Early College High,North Central,48.9,91.0,188.0,A
North Edgecombe High,North Central,68.9,47.0,218.0,D
Phillips Middle,North Central,74.4,46.0,127.0,D
Princeville Elementary,North Central,84.5,43.0,201.0,D
South Edgecombe Middle,North Central,65.8,54.0,307.0,D
W A Pattillo Middle,North Central,78.1,43.0,303.0,D
West Edgecombe Middle,North Central,74.5,44.0,308.0,D
SouthWest Edgecombe High,North Central,64.5,49.0,776.0,D
Stocks Elementary,North Central,79.3,42.0,380.0,D
Tarboro High,North Central,71.0,49.0,497.0,D
Martin Millennium Academy,North Central,72.0,53.0,562.0,D
North East Carolina Prep,North Central,52.3,67.0,893.0,C
Ashley Academy,Piedmont Triad,84.0,42.0,374.0,D
Atkins Academic & Tech High,Piedmont Triad,36.6,90.0,1172.0,A
Bolton Elementary,Piedmont Triad,80.5,54.0,366.0,D
Brunson Elementary,Piedmont Triad,57.7,62.0,408.0,C
Caleb's Creek Elementary,Piedmont Triad,59.6,61.0,635.0,C
Carver High,Piedmont Triad,81.4,43.0,610.0,D
Cash Elementary,Piedmont Triad,59.0,65.0,537.0,C
Clemmons Elementary,Piedmont Triad,36.8,80.0,781.0,B
Clemmons Middle School,Piedmont Triad,57.2,60.0,1169.0,C
Cook Literacy Model School,Piedmont Triad,90.8,51.0,254.0,D
The Downtown School,Piedmont Triad,25.2,75.0,389.0,B
Early College of Forsyth Co,Piedmont Triad,37.6,91.0,282.0,A
East Forsyth High,Piedmont Triad,54.1,58.0,1602.0,C
East Forsyth Middle School,Piedmont Triad,69.6,33.0,759.0,F
Easton Elementary School,Piedmont Triad,75.6,37.0,498.0,F
Flat Rock Middle,Piedmont Triad,69.0,29.0,812.0,F
Forest Park Elementary,Piedmont Triad,76.9,51.0,494.0,D
Gibson Elementary,Piedmont Triad,74.5,31.0,596.0,F
Robert B Glenn High School,Piedmont Triad,73.5,46.0,1424.0,D
Griffith Elementary,Piedmont Triad,71.5,54.0,536.0,D
Hall-Woodward Elementary,Piedmont Triad,75.5,48.0,562.0,D
Hanes Magnet School,Piedmont Triad,61.5,50.0,909.0,D
Virtual Academy,Piedmont Triad,72.3,35.0,405.0,F
Ibraham Elementary,Piedmont Triad,81.1,38.0,342.0,F
Jefferson Elementary,Piedmont Triad,41.5,77.0,560.0,B
Thomas Jefferson Middle,Piedmont Triad,44.7,70.0,791.0,B
Kernersville Elementary,Piedmont Triad,68.1,56.0,622.0,C
Kernersville Middle,Piedmont Triad,51.7,59.0,710.0,C
Kimberley Park Elementary,Piedmont Triad,86.9,50.0,244.0,D
Kimmel Farm Elementary,Piedmont Triad,62.6,58.0,792.0,C
Konnoak Elementary,Piedmont Triad,73.3,53.0,608.0,D
Diggs-Latham Elementary,Piedmont Triad,83.3,56.0,387.0,C
Lewisville Elementary,Piedmont Triad,31.5,81.0,591.0,B
Lewisville Middle,Piedmont Triad,35.1,67.0,826.0,C
Meadowlark Elementary,Piedmont Triad,35.8,76.0,829.0,B
Meadowlark Middle,Piedmont Triad,35.0,67.0,828.0,C
Middle College of Forsyth Cnty,Piedmont Triad,39.6,92.0,105.0,A
Mineral Springs Elementary,Piedmont Triad,78.1,48.0,546.0,D
Mineral Springs Middle,Piedmont Triad,76.6,29.0,666.0,F
Moore Magnet Elementary,Piedmont Triad,62.1,57.0,417.0,C
Mount Tabor High School,Piedmont Triad,59.5,60.0,1400.0,C
Frank Morgan Elementary,Piedmont Triad,52.4,74.0,713.0,B
North Forsyth Magnet High,Piedmont Triad,69.2,52.0,1016.0,D
North Hills Elementary,Piedmont Triad,86.8,32.0,456.0,F
Northwest Middle,Piedmont Triad,71.7,30.0,866.0,F
Old Richmond Elementary,Piedmont Triad,57.3,70.0,406.0,B
Old Town Elementary,Piedmont Triad,72.3,40.0,568.0,D
Paisley Magnet School,Piedmont Triad,68.2,34.0,671.0,F
Parkland High,Piedmont Triad,66.4,55.0,1458.0,C
J F Kennedy High,Piedmont Triad,70.7,60.0,374.0,C
Petree Elementary,Piedmont Triad,80.5,33.0,424.0,F
Konnoak Middle School,Piedmont Triad,76.5,29.0,380.0,F
Piney Grove Elementary,Piedmont Triad,39.9,76.0,594.0,B
Ronald W Reagan High School,Piedmont Triad,31.0,85.0,2087.0,A
R J Reynolds High,Piedmont Triad,58.3,64.0,1612.0,C
Rural Hall Elementary,Piedmont Triad,57.8,53.0,475.0,D
Sedge Garden Elementary,Piedmont Triad,57.7,73.0,725.0,B
Sherwood Forest Elementary,Piedmont Triad,21.7,85.0,643.0,A
Smith Farm Elementary,Piedmont Triad,64.6,56.0,488.0,C
Southeast Middle,Piedmont Triad,69.1,37.0,810.0,F
South Fork Elementary,Piedmont Triad,72.7,46.0,471.0,D
Southwest Elementary,Piedmont Triad,38.6,71.0,511.0,B
Speas Elementary,Piedmont Triad,51.8,60.0,768.0,C
Union Cross Traditional Acad,Piedmont Triad,58.9,57.0,460.0,C
Vienna Elementary,Piedmont Triad,29.4,79.0,772.0,B
Walkertown Elementary,Piedmont Triad,63.6,50.0,681.0,D
Walkertown High,Piedmont Triad,53.2,54.0,702.0,D
Walkertown Middle,Piedmont Triad,63.2,52.0,626.0,D
Ward Elementary,Piedmont Triad,62.5,56.0,523.0,C
West Forsyth High,Piedmont Triad,37.0,76.0,2278.0,B
Whitaker Elementary,Piedmont Triad,27.9,84.0,542.0,B
Wiley Magnet Middle,Piedmont Triad,60.9,41.0,739.0,D
Winston-Salem Preparatory Acad,Piedmont Triad,78.3,35.0,362.0,F
Quality Education Academy,Piedmont Triad,66.1,47.0,629.0,D
Carter G. Woodson School,Piedmont Triad,63.4,33.0,357.0,F
Forsyth Academy,Piedmont Triad,80.6,44.0,704.0,D
The Arts Based School,Piedmont Triad,35.8,73.0,570.0,B
NC Leadership Charter Academy,Piedmont Triad,16.0,82.0,1106.0,B
Appalachian Academy at Middle Fork,Piedmont Triad,48.7,38.0,269.0,F
Bunn Elementary,North Central,71.8,65.0,543.0,C
Bunn High,North Central,60.7,67.0,812.0,C
Bunn Middle,North Central,71.9,49.0,598.0,D
Cedar Creek Middle,North Central,53.7,64.0,514.0,C
Edward Best Elementary,North Central,71.7,73.0,464.0,B
Franklin County Early College,North Central,43.2,89.0,181.0,A
Franklinton Elementary,North Central,81.6,54.0,510.0,D
Franklinton High,North Central,49.6,70.0,1133.0,B
Franklinton Middle,North Central,77.4,55.0,247.0,C
Laurel Mill Elementary,North Central,81.4,63.0,292.0,C
Long Mill Elementary,North Central,56.7,57.0,390.0,C
Louisburg Elementary,North Central,84.7,50.0,400.0,D
Louisburg Magnet High,North Central,70.2,70.0,503.0,B
Terrell Lane Middle,North Central,79.1,48.0,397.0,D
Royal Elementary,North Central,74.5,66.0,338.0,C
Youngsville Elementary,North Central,51.7,74.0,380.0,B
Crosscreek Charter School,North Central,25.9,52.0,256.0,D
Youngsville Academy,North Central,17.0,57.0,508.0,C
Wake Preparatory Academy,North Central,16.6,64.0,1822.0,C
Ashbrook High,Southwest,72.7,55.0,1260.0,C
Belmont Central Elementary,Southwest,31.5,71.0,682.0,B
Belmont Middle,Southwest,42.5,67.0,742.0,C
Bessemer City Central Elem,Southwest,72.4,37.0,405.0,F
Bessemer City High,Southwest,79.3,51.0,536.0,D
Gaston Early College High School,Southwest,40.6,98.0,227.0,A
Bessemer City Primary,Southwest,75.4,37.0,393.0,F
W B Beam Intermediate School,Southwest,65.8,62.0,200.0,C
Brookside Elementary,Southwest,66.8,45.0,515.0,D
Gaston Early College of Medical Sciences,Southwest,54.1,96.0,112.0,A
Carr Elementary,Southwest,64.1,53.0,629.0,D
Catawba Heights Elementary,Southwest,69.8,66.0,258.0,C
Chapel Grove Elementary,Southwest,71.8,55.0,340.0,C
Cherryville High,Southwest,60.9,68.0,482.0,C
Cherryville Elementary,Southwest,67.6,59.0,369.0,C
Costner Elementary,Southwest,64.3,60.0,477.0,C
Stuart W Cramer High,Southwest,44.6,71.0,935.0,B
Cramerton Middle,Southwest,38.2,79.0,909.0,B
East Gaston High,Southwest,48.6,59.0,855.0,C
Edward D Sadler Jr Elementary School,Southwest,79.4,45.0,301.0,D
Forestview High,Southwest,47.6,64.0,1057.0,C
Gardner Park Elementary,Southwest,65.1,49.0,513.0,D
W P Grier Middle School,Southwest,71.7,42.0,613.0,D
Highland Sch of Technology,Southwest,29.1,100.0,510.0,A
Hawks Nest STEAM Academy,Southwest,36.0,80.0,352.0,B
Holbrook Middle,Southwest,76.3,45.0,772.0,D
Hunter Huss High,Southwest,83.1,51.0,1056.0,D
J B Page Primary School,Southwest,29.7,71.0,337.0,B
John Chavis Middle School,Southwest,70.3,55.0,411.0,C
Kiser Elementary,Southwest,66.4,55.0,331.0,C
Bessemer City Middle,Southwest,66.7,43.0,504.0,D
Lingerfeldt Elementary,Southwest,81.6,35.0,388.0,F
Lowell Elementary,Southwest,73.6,61.0,404.0,C
McAdenville Elementary,Southwest,50.6,75.0,177.0,B
Mount Holly Middle,Southwest,63.9,60.0,549.0,C
New Hope Elementary,Southwest,32.7,74.0,508.0,B
North Belmont Elementary,Southwest,59.5,69.0,310.0,C
North Gaston High,Southwest,65.1,57.0,1083.0,C
Pinewood Elementary,Southwest,57.7,69.0,464.0,C
Pleasant Ridge Elementary,Southwest,64.1,48.0,873.0,D
Ida Rankin Elementary School,Southwest,58.6,66.0,487.0,C
Robinson Elementary,Southwest,63.7,58.0,386.0,C
Sherwood Elementary,Southwest,84.7,39.0,503.0,F
H H Beam Elementary,Southwest,77.7,41.0,521.0,D
South Point High,Southwest,31.2,79.0,939.0,B
Southwest Middle,Southwest,66.6,42.0,812.0,D
Springfield Primary,Southwest,55.4,55.0,283.0,C
Stanley Middle,Southwest,55.4,65.0,664.0,C
Tryon Elementary,Southwest,67.5,53.0,314.0,D
W A Bess Elementary School,Southwest,46.6,70.0,621.0,B
W C Friday Middle School,Southwest,74.0,44.0,603.0,D
Woodhill Elementary,Southwest,80.8,35.0,466.0,F
York Chester Middle,Southwest,77.6,54.0,421.0,D
Gaston Virtual Academy,Southwest,57.6,62.0,417.0,C
Piedmont Community Charter School,Southwest,20.3,66.0,1782.0,C
Mountain Island Charter School,Southwest,15.0,76.0,1482.0,B
Community Charter School,Southwest,11.2,60.0,220.0,C
Buckland Elementary,Northeast,56.8,57.0,238.0,C
Central Middle School,Northeast,55.5,56.0,338.0,C
Gates County Senior High,Northeast,51.8,63.0,457.0,C
Gatesville Elementary,Northeast,62.5,49.0,229.0,D
T S Cooper Elementary,Northeast,58.9,61.0,174.0,C
Robbinsville Elementary,Western,75.3,45.0,492.0,D
Robbinsville High,Western,67.3,63.0,333.0,C
Robbinsville Middle,Western,75.3,39.0,246.0,F
Butner-Stem Middle,North Central,78.6,53.0,421.0,D
Butner-Stem Elementary,North Central,82.3,62.0,431.0,C
C. G. Credle Elementary,North Central,89.4,52.0,329.0,D
G. C. Hawley Middle,North Central,61.0,52.0,485.0,D
Granville Academy,North Central,44.2,54.0,228.0,D
Granville Central High,North Central,75.1,62.0,606.0,C
Granville Early College High,North Central,39.6,97.0,222.0,A
J. F. Webb High,North Central,77.4,59.0,566.0,C
Mount Energy Elementary,North Central,56.9,54.0,447.0,D
Northern Granville Middle,North Central,84.2,41.0,506.0,D
South Granville High,North Central,48.1,63.0,683.0,C
Stovall-Shaw Elementary,North Central,80.5,56.0,307.0,C
Tar River Elementary,North Central,61.2,57.0,321.0,C
West Oxford Elementary,North Central,87.4,44.0,406.0,D
Wilton Elementary,North Central,55.4,63.0,252.0,C
Falls Lake Academy,North Central,8.2,69.0,1070.0,C
Oxford Preparatory,North Central,13.7,83.0,705.0,B
Greene Central High,Southeast,61.6,54.0,742.0,D
Greene County Middle,Southeast,66.0,33.0,677.0,F
Greene Early College High,Southeast,52.3,74.0,151.0,B
Greene County Intermediate,Southeast,66.8,43.0,358.0,D
Snow Hill Primary,Southeast,73.6,37.0,377.0,F
West Greene Elementary,Southeast,71.0,37.0,348.0,F
Guilford eLearning University Prep,Piedmont Triad,17.9,40.0,501.0,D
Alamance Elementary,Piedmont Triad,41.4,70.0,500.0,B
Edwin A Alderman Elementary,Piedmont Triad,64.4,58.0,372.0,C
Allen Jay Elementary,Piedmont Triad,74.1,59.0,455.0,C
Allen Jay Middle - A Preparatory Academy,Piedmont Triad,46.1,46.0,397.0,D
Southern Guilford Middle,Piedmont Triad,71.0,47.0,600.0,D
Allen Middle,Piedmont Triad,70.1,46.0,687.0,D
T Wingate Andrews High,Piedmont Triad,66.8,56.0,672.0,C
Bessemer Elementary,Piedmont Triad,79.0,39.0,458.0,F
Bluford Elementary,Piedmont Triad,73.7,55.0,256.0,C
Brightwood Elementary,Piedmont Triad,73.4,50.0,474.0,D
Brooks Global Elementary,Piedmont Triad,49.2,74.0,316.0,B
Monticello-Brown Summit Elem,Piedmont Triad,69.7,60.0,277.0,C
Brown Summit Middle,Piedmont Triad,16.9,98.0,237.0,A
Claxton Elementary,Piedmont Triad,53.6,62.0,496.0,C
Colfax Elementary,Piedmont Triad,38.0,72.0,569.0,B
Ceasar Cone Elementary,Piedmont Triad,82.9,54.0,446.0,D
James B Dudley High,Piedmont Triad,70.2,52.0,1349.0,D
Eastern Guilford High,Piedmont Triad,68.6,57.0,1132.0,C
