school,region,pct_eds,spg_score,enrollment,spg_grade
Dublin Primary,Sandhills,64.2,52.0,183.0,D
East Arcadia Elementary,Sandhills,71.0,38.0,62.0,F
East Bladen High,Sandhills,41.4,51.0,555.0,D
Elizabethtown Middle,Sandhills,63.1,40.0,400.0,D
Elizabethtown Primary,Sandhills,83.2,44.0,463.0,D
Tar Heel School,Sandhills,64.3,42.0,288.0,D
West Bladen High,Sandhills,51.5,58.0,687.0,C
Bladen Early College,Sandhills,42.5,73.0,127.0,B
Paul R. Brown Leadership Academy,Sandhills,94.9,69.0,143.0,C
Emereau Bladen,Sandhills,40.0,59.0,470.0,C
Belville Elementary,Southeast,42.6,63.0,722.0,C
Bolivia Elementary,Southeast,57.6,52.0,497.0,D
Brunswick County Early College,Southeast,37.8,90.0,348.0,A
Cedar Grove Middle,Southeast,62.2,50.0,442.0,D
Jessie Mae Monroe Elementary,Southeast,61.6,62.0,395.0,C
Leland Middle,Southeast,50.1,47.0,780.0,D
Lincoln Elementary,Southeast,60.9,52.0,678.0,D
North Brunswick High,Southeast,41.3,63.0,1402.0,C
Shallotte Middle,Southeast,58.5,60.0,670.0,C
South Brunswick High,Southeast,40.1,63.0,1124.0,C
South Brunswick Middle,Southeast,38.6,61.0,576.0,C
Southport Elementary,Southeast,49.4,63.0,407.0,C
Supply Elementary,Southeast,72.8,49.0,544.0,D
Town Creek Elementary,Southeast,43.2,74.0,654.0,B
Union Elementary,Southeast,50.4,76.0,577.0,B
Town Creek Middle,Southeast,41.9,59.0,496.0,C
Virginia Williamson Elem,Southeast,61.1,59.0,511.0,C
Waccamaw,Southeast,64.4,68.0,431.0,C
West Brunswick High,Southeast,53.9,62.0,1455.0,C
Classical Charter Schools of Leland,Southeast,15.5,70.0,993.0,B
Classical Charter Schools of Southport,Southeast,9.7,77.0,391.0,B
Reynolds High,Western,44.5,75.0,1097.0,B
Reynolds Middle,Western,60.5,55.0,478.0,C
Barnardsville Elementary,Western,56.9,76.0,106.0,B
Black Mountain Elementary,Western,53.4,59.0,147.0,C
Black Mountain Primary,Western,57.8,57.0,325.0,C
Early College,Western,61.3,87.0,263.0,A
Center for Career Innovation,Western,31.6,96.0,43.0,A
Candler Elementary,Western,72.6,67.0,359.0,C
Cane Creek Middle,Western,35.4,75.0,449.0,B
Bell Elementary,Western,54.4,68.0,214.0,C
Owen High,Western,50.1,70.0,675.0,B
Owen Middle,Western,62.8,47.0,415.0,D
Erwin High,Western,66.3,55.0,1050.0,C
Erwin Middle,Western,76.6,41.0,554.0,D
Emma Elementary,Western,62.9,50.0,281.0,D
Enka High,Western,58.9,66.0,991.0,C
Fairview Elementary,Western,42.4,75.0,661.0,B
Glen Arden Elementary,Western,35.0,71.0,500.0,B
Haw Creek Elementary,Western,43.5,70.0,377.0,B
Hominy Valley Elementary,Western,51.0,65.0,440.0,C
Johnston Elementary,Western,70.0,41.0,199.0,D
Leicester Elementary,Western,70.5,60.0,375.0,C
North Buncombe Elementary,Western,53.6,70.0,568.0,B
North Buncombe High,Western,43.6,73.0,912.0,B
North Buncombe Middle,Western,45.6,67.0,502.0,C
North Windy Ridge Intermediate,Western,45.9,64.0,489.0,C
Oakley Elementary,Western,51.2,48.0,440.0,D
Pisgah Elementary,Western,67.5,64.0,167.0,C
Enka Middle,Western,65.1,45.0,606.0,D
Sand Hill-Venable Elem,Western,77.9,56.0,540.0,C
Avery's Creek Elementary,Western,68.4,58.0,548.0,C
Williams Elementary,Western,51.6,49.0,463.0,D
Roberson High,Western,43.9,74.0,1443.0,B
Valley Springs Middle,Western,55.1,67.0,638.0,C
Estes Elementary,Western,52.4,62.0,742.0,C
Enka Intermediate,Western,69.1,54.0,575.0,D
Weaverville Elementary,Western,49.5,76.0,305.0,B
Weaverville Primary,Western,41.7,76.0,216.0,B
West Buncombe Elementary,Western,67.8,76.0,597.0,B
Woodfin Elementary,Western,53.0,37.0,130.0,F
Koontz Intermediate,Western,51.0,55.0,651.0,C
Eblen Intermediate,Western,77.6,43.0,565.0,D
Buncombe County Schools Virtual Academy,Western,52.2,60.0,262.0,C
Nesbitt Discovery Academy,Western,21.8,95.0,372.0,A
Asheville High,Western,32.7,74.0,1125.0,B
Hall Fletcher Elementary,Western,57.0,56.0,285.0,C
Isaac Dickson Elementary,Western,38.3,64.0,396.0,C
Claxton Elementary,Western,38.5,67.0,400.0,C
Ira B Jones Elementary,Western,47.9,56.0,358.0,C
Asheville Middle,Western,49.7,55.0,578.0,C
Lucy S. Herring Elementary,Western,52.0,69.0,288.0,C
SILSA,Western,33.0,83.0,338.0,B
Evergreen Community Charter,Western,31.5,69.0,440.0,C
ArtSpace Charter School,Western,13.8,69.0,389.0,C
IC Imagine,Western,34.0,56.0,1218.0,C
The Franklin School of Innovation,Western,13.4,60.0,520.0,C
Asheville PEAK Academy,Western,69.7,57.0,87.0,C
Francine Delany New School,Western,15.5,58.0,180.0,C
Burke Virtual Academy,Northwest,60.6,54.0,121.0,D
Burke Middle College,Northwest,34.7,93.0,118.0,A
Drexel Elementary,Northwest,77.1,59.0,421.0,C
East Burke High,Northwest,63.7,66.0,860.0,C
East Burke Middle,Northwest,70.9,55.0,648.0,C
Forest Hill Elementary,Northwest,80.4,51.0,256.0,D
Freedom High,Northwest,65.4,60.0,1375.0,C
George Hildebrand Elementary,Northwest,82.0,74.0,304.0,B
Glen Alpine Elementary,Northwest,76.8,67.0,265.0,C
Heritage Middle,Northwest,64.2,61.0,453.0,C
Hildebran Elementary,Northwest,68.3,62.0,287.0,C
Hillcrest Elementary,Northwest,93.3,53.0,248.0,D
Icard Elementary,Northwest,73.4,61.0,243.0,C
Draughn High School,Northwest,51.8,70.0,669.0,B
Liberty Middle,Northwest,59.3,60.0,459.0,C
Mountain View Elementary,Northwest,79.8,53.0,623.0,D
Mull Elementary,Northwest,67.3,67.0,257.0,C
Oak Hill Elementary,Northwest,71.2,52.0,308.0,D
Ray Childers Elementary,Northwest,74.2,66.0,424.0,C
Patton High School,Northwest,55.2,73.0,741.0,B
Salem Elementary,Northwest,68.9,65.0,374.0,C
Table Rock Middle,Northwest,71.9,52.0,490.0,D
Valdese Elementary,Northwest,65.5,62.0,485.0,C
W A Young Elementary,Northwest,78.4,50.0,277.0,D
Walter R Johnson Middle,Northwest,89.9,50.0,458.0,D
New Dimensions,Northwest,31.8,63.0,533.0,C
A T Allen Elementary,Southwest,69.4,61.0,637.0,C
Cox Mill High School,Southwest,14.6,86.0,1743.0,A
Bethel Elementary,Southwest,48.7,76.0,599.0,B
Central Cabarrus High,Southwest,56.9,65.0,1281.0,C
Coltrane-Webb Elementary,Southwest,52.4,58.0,376.0,C
Harrisburg Elementary,Southwest,27.6,84.0,771.0,B
Concord Middle,Southwest,60.4,32.0,703.0,F
Concord High,Southwest,66.5,64.0,957.0,C
J N Fries Magnet School,Southwest,43.1,61.0,820.0,C
Jay M Robinson High,Southwest,51.4,68.0,1064.0,C
C C Griffin Middle,Southwest,56.9,54.0,964.0,D
Cox Mill Elementary,Southwest,9.4,88.0,1083.0,A
Harris Road Middle,Southwest,15.6,88.0,1239.0,A
Carl A Furr Elementary,Southwest,60.2,56.0,833.0,C
Mount Pleasant Elementary,Southwest,44.1,72.0,664.0,B
Mount Pleasant Middle,Southwest,46.7,64.0,692.0,C
Mount Pleasant High,Southwest,39.4,69.0,877.0,C
Charles E Boger Elementary,Southwest,47.1,72.0,842.0,B
Northwest Cabarrus High,Southwest,36.5,74.0,1119.0,B
Northwest Cabarrus Middle,Southwest,58.7,70.0,808.0,B
Royal Oaks Elementary,Southwest,57.9,69.0,592.0,C
Rocky River Elementary,Southwest,73.0,64.0,703.0,C
R Brown McAllister Elementary,Southwest,38.1,64.0,377.0,C
Pitts School Road Elementary,Southwest,49.4,74.0,855.0,B
Hickory Ridge High,Southwest,19.6,80.0,1702.0,B
W R Odell Primary,Southwest,13.8,90.0,821.0,A
W R Odell Elementary,Southwest,13.9,90.0,918.0,A
Weddington Hills Elementary,Southwest,57.9,70.0,950.0,B
West Cabarrus High,Southwest,60.5,64.0,1769.0,C
Winecoff Elementary,Southwest,76.0,51.0,744.0,D
W M Irvin Elementary,Southwest,55.0,56.0,674.0,C
Wolf Meadow Elementary,Southwest,63.2,39.0,525.0,F
Patriots Elementary,Southwest,39.0,70.0,899.0,B
Hickory Ridge Middle,Southwest,17.0,85.0,935.0,A
Hickory Ridge Elementary,Southwest,15.4,85.0,1045.0,A
Cabarrus Health Sciences Institute,Southwest,33.9,81.0,59.0,B
Cabarrus Early College of Technology,Southwest,32.9,91.0,221.0,A
Cabarrus-Kannapolis Early Coll,Southwest,30.6,93.0,235.0,A
Harold E. Winkler Middle,Southwest,42.9,54.0,861.0,D
Cabarrus County Schools Virtual Academy,Southwest,32.0,69.0,231.0,C
Roberta Road Middle,Southwest,56.4,56.0,959.0,C
A L Brown High,Southwest,52.1,51.0,1690.0,D
Forest Park Elementary,Southwest,63.9,53.0,455.0,D
Fred L Wilson Elementary,Southwest,59.6,54.0,464.0,D
GW Carver Elementary,Southwest,73.6,54.0,529.0,D
Jackson Park Elementary,Southwest,64.6,67.0,417.0,C
Kannapolis Middle School 7/8,Southwest,59.5,36.0,1246.0,F
Shady Brook Elementary,Southwest,65.9,45.0,293.0,D
North Kannapolis Elementary,Southwest,63.9,54.0,263.0,D
Carolina International School,Southwest,15.5,59.0,843.0,C
Valor Preparatory Academy,Southwest,38.5,39.0,687.0,F
A.C.E. Academy,Southwest,55.2,50.0,378.0,D
Concord Lake STEAM Academy,Southwest,66.5,63.0,585.0,C
Baton Elementary,Northwest,66.9,61.0,340.0,C
Caldwell Applied Sciences Academy,Northwest,38.5,84.0,214.0,B
Collettsville School,Northwest,68.2,55.0,315.0,C
Caldwell Early College,Northwest,40.0,83.0,391.0,B
Davenport A+ School,Northwest,83.4,56.0,448.0,C
Dudley Shoals Elementary,Northwest,67.7,60.0,420.0,C
Gamewell Elementary,Northwest,82.1,45.0,481.0,D
Gamewell Middle,Northwest,82.2,39.0,504.0,F
Granite Falls Middle,Northwest,53.2,66.0,527.0,C
Granite Falls Elementary,Northwest,55.8,67.0,558.0,C
Happy Valley Elementary,Northwest,73.5,49.0,213.0,D
Hibriten High,Northwest,61.5,62.0,803.0,C
Hudson Elementary,Northwest,71.8,65.0,632.0,C
Hudson Middle,Northwest,62.4,53.0,579.0,D
Kings Creek Elementary,Northwest,69.2,43.0,149.0,D
William Lenoir Middle,Northwest,63.3,58.0,503.0,C
Lower Creek Elementary,Northwest,58.7,61.0,389.0,C
Sawmills Elementary,Northwest,69.5,55.0,315.0,C
South Caldwell High,Northwest,49.6,63.0,1279.0,C
Valmead Elementary,Northwest,86.6,47.0,276.0,D
West Caldwell High,Northwest,70.6,53.0,714.0,D
Whitnel Elementary,Northwest,78.3,50.0,269.0,D
Oak Hill Charter School,Northwest,57.9,42.0,178.0,D
Camden County High,Northeast,25.1,67.0,444.0,C
Grandy Primary,Northeast,31.8,61.0,592.0,C
Camden Intermediate,Northeast,24.8,61.0,441.0,C
Camden Middle,Northeast,26.8,69.0,271.0,C
Camden Early College High,Northeast,16.3,84.0,141.0,B
Atlantic Elementary,Southeast,52.9,77.0,74.0,B
Bogue Sound Elementary,Southeast,38.5,77.0,460.0,B
Beaufort Elementary,Southeast,50.0,71.0,367.0,B
Beaufort Middle,Southeast,42.4,64.0,256.0,C
Broad Creek Middle,Southeast,25.8,75.0,715.0,B
East Carteret High,Southeast,46.7,79.0,515.0,B
Croatan High,Southeast,26.8,86.0,957.0,A
Harkers Island Elementary,Southeast,49.6,69.0,116.0,C
Morehead Elem at Camp Glenn,Southeast,39.9,61.0,290.0,C
Morehead City Middle,Southeast,32.3,68.0,481.0,C
Morehead City Primary,Southeast,39.4,68.0,522.0,C
Newport Elementary,Southeast,52.2,67.0,650.0,C
Newport Middle,Southeast,48.8,54.0,372.0,D
Down East Middle and Smyrna Elementary,Southeast,30.5,61.0,231.0,C
West Carteret High,Southeast,41.7,71.0,1103.0,B
White Oak Elementary,Southeast,20.8,74.0,746.0,B
Tiller School,Southeast,26.6,72.0,191.0,B
Bartlett Yancey High,Piedmont Triad,64.0,60.0,651.0,C
North Elementary,Piedmont Triad,65.1,67.0,322.0,C
N L Dillard Middle,Piedmont Triad,72.3,39.0,494.0,F
Oakwood Elementary,Piedmont Triad,73.9,51.0,311.0,D
South Elementary,Piedmont Triad,62.7,56.0,225.0,C
Stoney Creek Elementary,Piedmont Triad,65.7,49.0,143.0,D
Harry M Arndt Middle,Northwest,62.5,57.0,626.0,C
Balls Creek Elementary,Northwest,58.2,70.0,672.0,B
Bandys High,Northwest,32.1,78.0,848.0,B
Banoak Elementary,Northwest,57.6,65.0,287.0,C
Blackburn Elementary,Northwest,57.3,67.0,518.0,C
Bunker Hill High,Northwest,57.6,60.0,816.0,C
Catawba Elementary School,Northwest,73.2,60.0,387.0,C
Challenger Early College High,Northwest,41.7,93.0,349.0,A
Charles H Tuttle Elementary,Northwest,56.0,66.0,411.0,C
Claremont Elementary,Northwest,73.6,61.0,411.0,C
Clyde Campbell Elementary,Northwest,52.3,66.0,458.0,C
Fred T Foard High,Northwest,42.4,74.0,927.0,B
Jacobs Fork Middle,Northwest,48.2,63.0,434.0,C
Lyle Creek Elementary,Northwest,75.9,57.0,421.0,C
Maiden Elementary,Northwest,61.0,67.0,482.0,C
Maiden Middle School,Northwest,52.1,60.0,417.0,C
Maiden High,Northwest,47.3,61.0,853.0,C
Mill Creek Middle,Northwest,41.0,53.0,416.0,D
Mountain View Elementary,Northwest,49.4,71.0,692.0,B
Oxford Elementary,Northwest,70.6,50.0,554.0,D
River Bend Middle,Northwest,69.0,51.0,473.0,D
Sherrills Ford Elementary,Northwest,31.5,72.0,527.0,B
Saint Stephens Elementary,Northwest,79.6,45.0,705.0,D
Saint Stephens High,Northwest,55.1,68.0,1218.0,C
Snow Creek Elementary,Northwest,57.7,68.0,571.0,C
Startown Elementary,Northwest,57.0,61.0,511.0,C
Webb A Murray Elementary,Northwest,82.5,53.0,374.0,D
Northview Middle,Northwest,57.1,49.0,472.0,D
Grandview Middle,Northwest,77.7,53.0,396.0,D
Hickory Career Arts Magnet High School,Northwest,58.1,72.0,233.0,B
Hickory High,Northwest,61.5,59.0,966.0,C
W M Jenkins Elementary,Northwest,55.5,63.0,256.0,C
Longview Elementary,Northwest,73.5,54.0,318.0,D
Oakwood Elementary,Northwest,57.1,73.0,324.0,B
Southwest Primary,Northwest,74.9,54.0,278.0,D
Viewmont Elementary,Northwest,77.3,45.0,514.0,D
Newton-Conover High,Northwest,58.7,58.0,735.0,C
Newton-Conover Middle,Northwest,66.5,57.0,601.0,C
Shuford Elementary,Northwest,57.5,69.0,416.0,C
South Newton Elementary,Northwest,74.7,57.0,337.0,C
North Newton Elementary,Northwest,76.4,70.0,420.0,B
Discovery High School,Northwest,24.5,86.0,193.0,A
Bennett School,North Central,52.2,75.0,169.0,B
Bonlee School,North Central,62.0,58.0,294.0,C
Chatham County Schools Virtual Academy,North Central,42.4,51.0,84.0,D
Chatham Middle,North Central,89.9,49.0,554.0,D
Chatham Central High,North Central,47.4,76.0,352.0,B
George M. Horton Middle,North Central,39.8,72.0,371.0,B
J S Waters School,North Central,60.4,67.0,198.0,C
Jordan-Matthews High,North Central,77.8,59.0,886.0,C
Margaret B. Pollard Middle,North Central,20.5,74.0,767.0,B
Moncure School,North Central,47.1,60.0,210.0,C
North Chatham Elementary,North Central,32.9,77.0,585.0,B
