school,region,pct_eds,spg_score,enrollment,spg_grade
Spring Hope Elementary,North Central,73.9,47.0,363.0,D
Frederick Douglass Elementary,North Central,70.6,64.0,350.0,C
Bill Hefner Elementary,Sandhills,60.2,52.0,652.0,D
Parkwood High,Southwest,43.3,74.0,1035.0,B
West Greene Elementary,Southeast,71.0,49.0,348.0,D
Richlands High,Southeast,40.8,69.0,938.0,C
Sunny View Elementary School,Western,64.5,63.0,122.0,C
Pine Forest High,Sandhills,61.5,72.0,1516.0,B
North Forsyth High,Piedmont Triad,69.2,45.0,1016.0,D
Pines Elementary,Northeast,84.3,50.0,376.0,D
Riverwood Middle,North Central,43.4,51.0,952.0,D
Wiley Magnet Middle,Piedmont Triad,60.9,39.0,739.0,F
Eastern Randolph High School,Piedmont Triad,67.5,51.0,612.0,D
Belvoir Elementary,Northeast,67.6,46.0,341.0,D
Parkside Elementary,North Central,17.2,80.0,837.0,B
Scotland Neck Elementary Leadership Acad,Northeast,76.2,31.0,130.0,F
Princeton Elementary,North Central,60.3,69.0,698.0,C
McKee Road Elementary,Southwest,22.4,82.0,503.0,B
Roland-Grise Middle,Southeast,33.3,70.0,849.0,B
Forest Hills Middle,North Central,75.4,58.0,659.0,C
Springfield Middle,North Central,56.8,67.0,441.0,C
Yadkin Early College,Piedmont Triad,40.7,89.0,205.0,A
Ida Rankin Elementary School,Southwest,58.6,69.0,487.0,C
Peterson Elementary,Sandhills,72.3,38.0,532.0,F
Nancy Reynolds Elementary School,Piedmont Triad,72.0,63.0,118.0,C
Moravian Falls Elementary School,Northwest,53.6,85.0,236.0,A
Northwest Guilford Middle,Piedmont Triad,18.4,80.0,956.0,B
West End Elementary,Sandhills,32.3,78.0,429.0,B
North Chatham Elementary,North Central,32.9,68.0,585.0,C
Jacksonville High,Southeast,45.0,78.0,1383.0,B
Turner Creek Elementary,North Central,19.7,74.0,668.0,B
Ward Elementary,Piedmont Triad,62.5,51.0,523.0,D
Enfield Middle S.T.E.A.M. Academy,Northeast,76.2,35.0,211.0,F
River Oaks Academy,Southwest,72.8,51.0,525.0,D
Ogden Elementary,Southeast,16.2,86.0,642.0,A
Wheatmore High School,Piedmont Triad,44.3,68.0,662.0,C
West Pine Middle,Sandhills,29.0,76.0,682.0,B
J C Sawyer Elementary,Northeast,65.6,46.0,373.0,D
Lingerfeldt Elementary,Southwest,81.6,37.0,388.0,F
Rockingham County High,Piedmont Triad,40.9,69.0,851.0,C
Millingport Elementary,Southwest,52.3,75.0,196.0,B
Leesville Road High,North Central,21.9,80.0,2536.0,B
Apple Valley Middle,Western,68.8,51.0,815.0,D
Nash Everywhere Digital Academy (NEDA),North Central,49.0,46.0,200.0,D
Hopewell Elementary School,Piedmont Triad,50.5,71.0,688.0,B
Charles H Darden Middle,North Central,84.1,38.0,432.0,F
East Franklin Elementary,Western,60.1,60.0,358.0,C
Ahoskie Elementary,Northeast,77.8,52.0,227.0,D
Wilburn Elementary,North Central,81.3,47.0,602.0,D
Wilson's Mills Elementary,North Central,76.3,59.0,496.0,C
Silver Valley Elementary,Piedmont Triad,79.0,53.0,228.0,D
Tuscola High,Western,48.7,77.0,890.0,B
Lincoln Academy,Piedmont Triad,58.7,64.0,620.0,C
McDeeds Creek Elementary,Sandhills,17.7,84.0,631.0,B
Elon Park Elementary,Southwest,14.1,85.0,855.0,A
Winstead Avenue Elementary,North Central,80.3,38.0,548.0,F
Asheville High,Western,32.7,75.0,1125.0,B
Ledford Senior High,Piedmont Triad,42.7,63.0,816.0,C
Berryhill School,Southwest,55.8,39.0,410.0,F
Perquimans County Middle,Northeast,58.6,60.0,373.0,C
Hunter Elementary,Piedmont Triad,74.5,48.0,484.0,D
Hillandale Elementary,Western,66.7,47.0,475.0,D
Mooresville High School,Southwest,36.1,74.0,1923.0,B
Pender High,Southeast,71.2,54.0,645.0,D
R Freeman Sch of Engineering,Southeast,94.6,28.0,295.0,F
Jonathan Valley Elementary,Western,54.1,65.0,348.0,C
Rea Farms STEAM Academy,Southwest,14.3,89.0,1118.0,A
Sand Hill-Venable Elem,Western,77.9,55.0,540.0,C
L Gilbert Carroll ,Sandhills,74.2,39.0,452.0,F
South End Elementary,Piedmont Triad,74.7,43.0,416.0,D
Stanly County Virtual Education,Southwest,61.3,48.0,162.0,D
Deyton Elementary,Northwest,64.6,60.0,220.0,C
Trinity Elementary School,Piedmont Triad,67.0,46.0,433.0,D
Elkin Elementary,Piedmont Triad,50.7,63.0,555.0,C
Lee Woodard Elementary,North Central,67.7,63.0,161.0,C
Fairview Elementary,Piedmont Triad,78.6,48.0,427.0,D
Rosman High,Western,57.6,76.0,251.0,B
River Bend Middle,North Central,75.0,46.0,1106.0,D
West Henderson High,Western,34.2,81.0,1062.0,B
Macon Middle School,Western,59.3,57.0,597.0,C
Topsail High,Southeast,21.8,85.0,1745.0,A
Kimberley Park Elementary,Piedmont Triad,86.9,47.0,244.0,D
East Clayton Elementary,North Central,55.4,57.0,509.0,C
Highland Mill Montessori,Southwest,23.6,80.0,260.0,B
Emsley A Laney High,Southeast,41.4,66.0,2178.0,C
Chapel Hill High,North Central,25.1,86.0,1576.0,A
Randleman Elementary School,Piedmont Triad,78.2,40.0,517.0,D
Challenger Early College High,Northwest,41.7,95.0,349.0,A
Cleveland Elementary,North Central,27.9,75.0,831.0,B
M B Hubbard Elementary,North Central,83.3,48.0,409.0,D
Heyward C Bellamy Elem,Southeast,38.6,80.0,555.0,B
A H Snipes Academy of Arts/Des,Southeast,88.0,46.0,394.0,D
FPG Elementary,North Central,40.6,63.0,509.0,C
Rock Ridge Elementary,North Central,50.3,87.0,470.0,A
Quail Hollow Middle,Southwest,69.3,50.0,1153.0,D
Onslow Virtual Elementary,Southeast,64.7,45.0,186.0,D
Cape Fear High,Sandhills,49.8,79.0,1451.0,B
Sycamore Lane Elementary,Sandhills,78.6,34.0,346.0,F
East Elementary,Southwest,66.0,45.0,371.0,D
Hickory Grove Elementary,Southwest,59.5,39.0,498.0,F
Emma B Trask Middle,Southeast,46.7,65.0,675.0,C
Northwoods Elementary,North Central,27.5,71.0,617.0,B
Cabarrus Health Sciences Institute,Southwest,33.9,89.0,59.0,A
Cumberland Road Elementary,Sandhills,70.7,56.0,312.0,C
Laurel Mill Elementary,North Central,81.4,56.0,292.0,C
South Creek Middle,Northeast,67.3,38.0,200.0,F
Ferndale Middle,Piedmont Triad,73.8,37.0,527.0,F
Carpenter Elementary,North Central,31.3,72.0,641.0,B
Warren County High,North Central,74.1,46.0,364.0,D
Johnston Elementary,Western,70.0,26.0,199.0,F
Nakina Middle,Sandhills,55.3,61.0,210.0,C
Roger Bell New Tech Academy,Southeast,53.4,60.0,378.0,C
Allen Jay Elementary,Piedmont Triad,74.1,44.0,455.0,D
Vernon Malone College and Career Academy,North Central,48.6,85.0,340.0,A
Tabor City Middle,Sandhills,69.2,50.0,181.0,D
Triangle Lake Montessori Elem,Piedmont Triad,64.1,49.0,355.0,D
Harnett Virtual Academy,North Central,65.8,47.0,116.0,D
Newell Elementary,Southwest,62.4,42.0,716.0,D
John J Blair Elementary,Southeast,58.0,64.0,432.0,C
Liberty Middle,Northwest,59.3,73.0,459.0,B
College Lakes Elementary,Sandhills,70.4,48.0,459.0,D
Foothills Community School,Northwest,48.9,72.0,189.0,B
Shiloh Valley Primary School,Southwest,45.0,61.0,553.0,C
Vance Virtual Village Academy,North Central,14.1,33.0,191.0,F
Anne Chesnutt Middle,Sandhills,59.8,44.0,466.0,D
Northeast Middle,Southwest,70.8,42.0,571.0,D
Nash Central High,North Central,64.8,60.0,903.0,C
Southwest Guilford Middle,Piedmont Triad,56.3,53.0,1082.0,D
China Grove Middle,Southwest,49.3,47.0,534.0,D
Spindale Elementary School,Western,71.3,59.0,324.0,C
Needham Broughton High,North Central,29.7,78.0,2080.0,B
Stovall-Shaw Elementary,North Central,80.5,50.0,307.0,D
East Mecklenburg High School,Southwest,57.7,67.0,2321.0,C
Reynolds High,Western,44.5,75.0,1097.0,B
Craven Early College High,Southeast,42.2,86.0,225.0,A
Costner Elementary,Southwest,64.3,59.0,477.0,C
Cloverleaf Elementary,Southwest,72.8,51.0,456.0,D
Waxhaw Elementary,Southwest,42.3,69.0,620.0,C
Bostian Elementary,Southwest,43.3,66.0,336.0,C
Isenberg Elementary,Southwest,66.7,39.0,445.0,F
Barton Pond Elementary,North Central,13.4,75.0,412.0,B
Bearfield Primary,Northeast,77.6,38.0,483.0,F
John M Morehead High,Piedmont Triad,63.1,56.0,766.0,C
Badin Elementary,Southwest,56.3,65.0,433.0,C
Norwayne Middle,Southeast,47.4,62.0,888.0,C
Woodland Heights Middle,Southwest,22.1,76.0,544.0,B
Davis Drive Elementary,North Central,7.5,91.0,848.0,A
Gaston Early College High School,Southwest,40.6,94.0,227.0,A
Erwin Middle,Southwest,57.1,42.0,760.0,D
East Carteret High,Southeast,46.7,77.0,515.0,B
Mount Tabor High School,Piedmont Triad,59.5,59.0,1400.0,C
Shoals Elementary,Piedmont Triad,50.2,76.0,233.0,B
Rocky River Elementary,Southwest,30.2,72.0,612.0,B
Westfield Elementary,Piedmont Triad,73.1,63.0,156.0,C
Watauga Virtual Academy,Northwest,37.5,58.0,42.0,C
Bethware Elementary,Southwest,67.0,62.0,478.0,C
Wayne School of Engineering,Southeast,25.2,77.0,426.0,B
North Gaston High,Southwest,65.1,57.0,1083.0,C
J E Holmes Middle,Piedmont Triad,65.1,47.0,604.0,D
Thomas Jefferson Middle,Piedmont Triad,44.7,69.0,791.0,C
Efland Cheeks Elementary,North Central,69.4,57.0,521.0,C
Seventy-First High,Sandhills,70.8,58.0,1296.0,C
Char Eng Early College-UNCC,Southwest,32.4,89.0,296.0,A
Valle Crucis Elementary,Northwest,45.0,72.0,327.0,B
Buncombe County Schools Virtual Academy,Western,52.2,67.0,262.0,C
Granite Falls Elementary,Northwest,55.8,67.0,558.0,C
Tri-County Early College High,Western,62.4,85.0,126.0,A
James E Shepard Middle,North Central,78.2,59.0,376.0,C
Phillips Middle,North Central,74.4,44.0,127.0,D
Lincoln Elementary,Piedmont Triad,67.3,62.0,296.0,C
Sedgefield Middle,Southwest,42.9,58.0,500.0,C
Hillsborough Elementary,North Central,17.6,80.0,428.0,B
Whitnel Elementary,Northwest,78.3,40.0,269.0,D
Merrick-Moore Elementary,North Central,55.7,60.0,545.0,C
Tarboro High,North Central,71.0,52.0,497.0,D
Cleveland Innovation,Southwest,54.8,57.0,168.0,C
J W Seabrook Elementary,Sandhills,65.2,57.0,251.0,C
White Oak Elementary,Northeast,64.5,47.0,412.0,D
C C Spaulding Elementary,North Central,61.7,29.0,213.0,F
Reedy Creek Middle,North Central,40.3,67.0,768.0,C
West Wilkes Middle School,Northwest,45.4,60.0,464.0,C
Williams Elementary,Western,51.6,40.0,463.0,D
Brogden Primary,Southeast,71.0,36.0,752.0,F
Davenport A+ School,Northwest,83.4,58.0,448.0,C
Oakwood Elementary ,Northwest,57.1,72.0,324.0,B
Martin Millennium Academy,North Central,72.0,44.0,562.0,D
Leland Middle,Southeast,50.1,52.0,780.0,D
Page High,Piedmont Triad,56.0,66.0,1684.0,C
Banks Road Elementary,North Central,41.7,62.0,655.0,C
Durant Road Middle,North Central,65.4,47.0,763.0,D
Newport Elementary,Southeast,52.2,67.0,650.0,C
Kenansville Elementary,Southeast,57.3,49.0,571.0,D
Lake Rim Elementary,Sandhills,55.7,55.0,616.0,C
Renaissance West STEAM Academy,Southwest,75.3,51.0,668.0,D
Pamlico County Middle,Southeast,50.6,64.0,265.0,C
Pine Forest Middle,Sandhills,55.3,66.0,729.0,C
Starmount Academy of Excellence,Southwest,89.7,41.0,426.0,D
W M Irvin Elementary,Southwest,55.0,45.0,674.0,D
Luther Nick Jeralds Middle,Sandhills,75.7,47.0,600.0,D
Carver High,Piedmont Triad,81.4,49.0,610.0,D
Andrews Middle,Western,69.1,68.0,188.0,C
Old Richmond Elementary,Piedmont Triad,57.3,71.0,406.0,B
Creswell Elementary,Northeast,82.1,51.0,113.0,D
Churchland Elementary,Piedmont Triad,68.9,54.0,382.0,D
J B Page Primary School,Southwest,29.7,70.0,337.0,B
Meadow Lane Elementary,Southeast,46.4,55.0,657.0,C
Charles E Boger Elementary,Southwest,47.1,63.0,842.0,C
Mac Williams Middle,Sandhills,57.6,54.0,1152.0,D
Vance County Middle School,North Central,79.2,32.0,793.0,F
Apex Friendship Elementary,North Central,5.8,84.0,773.0,B
North Elementary,Southwest,72.7,60.0,257.0,C
Stoney Creek Elementary,Southwest,56.0,42.0,748.0,D
Grady Brown Elementary,North Central,58.5,54.0,407.0,D
East Surry High,Piedmont Triad,44.3,68.0,581.0,C
Nathanael Greene Elementary,Piedmont Triad,52.5,66.0,259.0,C
Atkinson Elementary,Western,46.0,73.0,317.0,B
Pasquotank Elementary,Northeast,68.1,49.0,263.0,D
C.F. Pope Elementary,Southeast,83.5,51.0,481.0,D
Riverside High,Northeast,64.3,49.0,425.0,D
Hobbton Elementary,Sandhills,55.7,69.0,451.0,C
Troutman Middle,Southwest,53.2,46.0,406.0,D
Salisbury High,Southwest,66.0,49.0,882.0,D
Brier Creek Elementary,North Central,50.8,59.0,579.0,C
Vaughan Elementary,North Central,73.6,51.0,154.0,D
East Yancey Middle,Northwest,60.1,65.0,250.0,C
Vandalia Elementary,Piedmont Triad,76.5,39.0,209.0,F
Lake Norman Elementary,Southwest,18.7,70.0,694.0,B
Pinnacle Elementary School,Western,62.0,62.0,222.0,C
Apex Middle,North Central,22.9,71.0,921.0,B
Franklinton Elementary,North Central,81.6,54.0,510.0,D
Woodington Middle,Southeast,60.5,54.0,576.0,D
Statesville High,Southwest,77.7,48.0,840.0,D
Centennial Campus Middle,North Central,64.4,51.0,512.0,D
Cane River Middle,Northwest,53.4,70.0,192.0,B
Swansboro High,Southeast,38.1,80.0,1085.0,B
Creekside Elementary,Northeast,73.4,52.0,611.0,D
Sampson Early College High,Sandhills,51.1,89.0,230.0,A
E O Young Jr Elementary,North Central,83.2,37.0,160.0,F
Bessemer City High,Southwest,79.3,60.0,536.0,C
Southeast Guilford Middle,Piedmont Triad,57.9,56.0,830.0,C
Overton Elementary,Southwest,71.3,31.0,307.0,F
Third Creek Middle,Southwest,87.6,27.0,392.0,F
Combs Elementary,North Central,40.9,72.0,609.0,B
Blue Ridge Elementary,Northwest,58.1,65.0,354.0,C
Sherwood Forest Elementary,Piedmont Triad,21.7,83.0,643.0,B
Blue Ridge School,Western,77.2,65.0,147.0,C
Oakdale Elementary,Southwest,66.9,39.0,465.0,F
Baskerville Elementary,North Central,93.4,26.0,311.0,F
Culbreth Middle,North Central,35.0,62.0,661.0,C
Cordova Middle,Sandhills,74.7,54.0,263.0,D
Southwest Elementary,Southeast,56.7,51.0,715.0,D
North Ridge Elementary,North Central,39.8,59.0,697.0,C
The Brawley School,Southwest,9.0,86.0,634.0,A
Carroll Middle,North Central,60.7,49.0,862.0,D
Kennedy Middle,Southwest,64.8,48.0,939.0,D
Oaklawn Language Academy,Southwest,65.4,62.0,507.0,C
Springfield Primary,Southwest,55.4,58.0,283.0,C
West Rowan Elementary,Southwest,61.4,51.0,564.0,D
Rocky Mount High,North Central,75.9,49.0,1047.0,D
James Martin Middle,Southwest,59.9,32.0,745.0,F
Paw Creek Elementary,Southwest,56.1,67.0,656.0,C
J. H. Gunn Elementary,Southwest,59.8,41.0,631.0,D
NRM Early College High School,North Central,48.4,87.0,384.0,A
Gov's Village STEM (Upper),Southwest,76.3,50.0,712.0,D
Cedar Grove Elementary,North Central,84.6,56.0,140.0,C
Morris Grove Elementary,North Central,22.9,78.0,423.0,B
Gardners Elementary,North Central,71.7,79.0,221.0,B
Wallace Elementary,Southeast,58.2,36.0,1105.0,F
Siler City Elementary,North Central,86.9,51.0,600.0,D
Queens Creek Elementary,Southeast,49.6,56.0,720.0,C
Smith Elementary,North Central,69.0,47.0,503.0,D
Lee County High,North Central,60.8,55.0,1470.0,C
Farmville Central High,Northeast,56.5,64.0,764.0,C
Brevard Middle,Western,57.2,68.0,528.0,C
Coastal Elementary,Southeast,31.8,65.0,816.0,C
Rolesville High,North Central,48.6,62.0,2258.0,C
York Chester Middle,Southwest,77.6,47.0,421.0,D
Monticello-Brown Summit Elem,Piedmont Triad,69.7,56.0,277.0,C
Parkwood Elementary,Southeast,51.8,67.0,509.0,C
Columbia Middle,Northeast,61.7,49.0,109.0,D
South Charlotte Middle,Southwest,22.7,78.0,809.0,B
Madison Middle School,Western,57.7,63.0,451.0,C
North Johnston High,North Central,61.9,71.0,758.0,B
East Rockingham Elementary,Sandhills,76.5,51.0,506.0,D
Elm City Middle,North Central,57.2,65.0,368.0,C
Wilson Early College Academy,North Central,42.7,92.0,239.0,A
Oakview Elementary,North Central,15.6,75.0,933.0,B
Beverly Woods Elementary,Southwest,19.5,84.0,619.0,B
North End Elementary,North Central,67.1,67.0,169.0,C
Northwest Middle,Piedmont Triad,71.7,35.0,866.0,F
Southeast Halifax Collegiate Prep Academ,Northeast,77.0,49.0,188.0,D
LaFayette Elementary,North Central,41.3,66.0,631.0,C
Nash Central Middle,North Central,65.5,44.0,556.0,D
Carrboro Elementary,North Central,34.6,65.0,487.0,C
Randleman High School,Piedmont Triad,57.6,57.0,847.0,C
Mount Energy Elementary,North Central,56.9,50.0,447.0,D
Greenway Park Elementary,Southwest,55.6,48.0,488.0,D
McLeansville Elementary,Piedmont Triad,55.5,49.0,320.0,D
Mount Airy High,Piedmont Triad,52.5,72.0,574.0,B
East Lincoln High,Southwest,29.7,73.0,1033.0,B
Hawthorne Academy of Health Sciences,Southwest,61.5,70.0,286.0,B
Sampson Middle,Sandhills,52.5,49.0,644.0,D
Whiteville Primary,Sandhills,76.2,55.0,446.0,C
Cape Hatteras Secondary School,Northeast,48.7,68.0,353.0,C
Pasquotank County High,Northeast,51.5,53.0,604.0,D
Mountain View Intermediate,Western,68.6,47.0,571.0,D
Kernodle Middle,Piedmont Triad,39.4,78.0,754.0,B
Dana Elementary,Western,80.5,48.0,382.0,D
Cape Fear Elementary,Southeast,74.0,54.0,505.0,D
Battleground Elementary,Southwest,66.7,35.0,377.0,F
Allenbrook Elementary,Southwest,71.3,74.0,235.0,B
Bowman Middle,Northwest,63.5,57.0,205.0,C
Cape Hatteras Elementary School,Northeast,53.0,63.0,297.0,C
Central Davidson High,Piedmont Triad,48.3,64.0,865.0,C
Northern Guilford Elementary,Piedmont Triad,17.1,77.0,632.0,B
Wilton Elementary,North Central,55.4,68.0,252.0,C
Zebulon Elementary,North Central,71.8,42.0,549.0,D
Jacobs Fork Middle,Northwest,48.2,66.0,434.0,C
Pittsboro Elementary,North Central,44.3,65.0,476.0,C
James B Dudley High,Piedmont Triad,70.2,49.0,1349.0,D
Robbinsville High,Western,67.3,62.0,333.0,C
First Flight High School,Northeast,28.5,76.0,927.0,B
Middle College at GTCC-High Point,Piedmont Triad,69.7,81.0,187.0,B
Pender Early College High,Southeast,36.4,97.0,201.0,A
Shelby Middle,Southwest,82.2,47.0,619.0,D
Ranson Middle,Southwest,66.0,28.0,814.0,F
Contentnea-Savannah School,Southeast,67.7,45.0,844.0,D
Whitewater Academy,Southwest,59.1,58.0,738.0,C
Mallard Creek Elementary,Southwest,73.2,48.0,535.0,D
Starmount Middle,Piedmont Triad,64.8,55.0,528.0,C
Corinth Holders High,North Central,31.8,76.0,2187.0,B
Hornets Nest Elementary,Southwest,62.7,37.0,533.0,F
G R Edwards Middle,North Central,82.1,46.0,410.0,D
Edwin A Anderson Elementary,Southeast,40.1,76.0,621.0,B
Jackson Middle,Piedmont Triad,72.0,44.0,406.0,D
Canton Middle,Western,57.4,66.0,453.0,C
Hillandale Elementary,North Central,67.0,53.0,518.0,D
Holly Ridge Middle,North Central,25.7,69.0,991.0,C
Hendersonville High,Western,43.3,78.0,764.0,B
Malpass Corner Elementary,Southeast,86.7,48.0,458.0,D
Stokes,Northeast,52.1,55.0,227.0,C
Saluda Elementary School,Western,40.9,69.0,139.0,C
Banoak Elementary,Northwest,57.6,59.0,287.0,C
Wakefield Middle,North Central,27.2,65.0,898.0,C
Lakewood Elementary,North Central,52.4,42.0,370.0,D
Rosewood High,Southeast,43.9,68.0,448.0,C
Sedge Garden Elementary,Piedmont Triad,57.7,67.0,725.0,C
College Park Elementary,Southeast,70.2,50.0,459.0,D
Tryon Elementary,Southwest,67.5,44.0,314.0,D
Myers Park Traditional Elem,Southwest,37.4,68.0,624.0,C
Myrtle Grove Middle,Southeast,54.9,66.0,655.0,C
Stanly STEM Early College,Southwest,39.7,93.0,146.0,A
Herbert Akins Road Middle,North Central,29.6,66.0,864.0,C
Walkertown Middle,Piedmont Triad,63.2,46.0,626.0,D
Everetts Elementary S.T.E.M. Academy,Northeast,75.7,32.0,226.0,F
Smoky Mountain High School,Western,54.6,67.0,866.0,C
Northern Nash High,North Central,58.3,62.0,1044.0,C
Northeastern Randolph Middle School,Piedmont Triad,59.9,51.0,479.0,D
Sumner Elementary,Piedmont Triad,70.6,47.0,517.0,D
R-S Central High School,Western,46.3,73.0,729.0,B
Hollister Elementary Leadership Academy,Northeast,71.5,35.0,147.0,F
Nations Ford Elementary,Southwest,48.5,49.0,577.0,D
Beddingfield High,North Central,75.0,64.0,662.0,C
East Bend Elementary,Piedmont Triad,74.8,52.0,191.0,D
Mountain Island Lake Academy,Southwest,72.5,44.0,775.0,D
Albert H Bangert Elementary,Southeast,50.9,78.0,422.0,B
Davis Drive Middle,North Central,12.5,89.0,976.0,A
Wakelon Elementary,North Central,72.0,54.0,564.0,D
Benton Heights Elementary,Southwest,90.5,50.0,449.0,D
Glen Alpine Elementary,Northwest,76.8,68.0,265.0,C
South Newton Elementary,Northwest,74.7,49.0,337.0,D
Massey Hill Classical High,Sandhills,42.4,85.0,259.0,A
W A Young Elementary,Northwest,78.4,62.0,277.0,C
R Brown  McAllister Elementary,Southwest,38.1,71.0,377.0,B
Mary McArthur Elementary,Sandhills,71.9,55.0,360.0,C
W T Griggs Elementary,Northeast,57.3,68.0,223.0,C
Wintergreen Intermediate,Northeast,37.1,78.0,816.0,B
Douglas Byrd Middle,Sandhills,72.8,45.0,932.0,D
South Creek High,Northeast,73.2,44.0,223.0,D
Wagram Elementary,Sandhills,78.6,44.0,466.0,D
Antioch Elementary,Southwest,9.2,87.0,869.0,A
Carver Elementary,North Central,80.1,43.0,114.0,D
Hominy Valley Elementary,Western,51.0,65.0,440.0,C
Oaks Road Academy,Southeast,66.7,44.0,367.0,D
Central Middle School,Northeast,55.5,49.0,338.0,D
Bryan Road Elementary,North Central,41.5,71.0,655.0,B
Table Rock Middle,Northwest,71.9,46.0,490.0,D
Howard L Hall Elementary,Sandhills,39.1,59.0,598.0,C
Bunn Elementary,North Central,71.8,58.0,543.0,C
Monroe Middle,Southwest,87.6,35.0,937.0,F
Lucy S. Herring Elementary,Western,52.0,61.0,288.0,C
Millis Road Elementary,Piedmont Triad,59.1,68.0,465.0,C
Harkers Island Elementary,Southeast,49.6,65.0,116.0,C
Hayesville Primary School,Western,65.5,71.0,300.0,B
North Duplin Jr Sr High,Southeast,46.8,63.0,604.0,C
Koontz Elementary,Southwest,76.6,35.0,519.0,F
Early College,Western,61.3,89.0,263.0,A
H J MacDonald Middle,Southeast,54.6,53.0,720.0,D
North Rowan Elementary,Southwest,72.9,26.0,413.0,F
West Caldwell High,Northwest,70.6,58.0,714.0,C
Morehead Montessori,North Central,36.3,74.0,199.0,B
Fuquay-Varina Elementary,North Central,36.7,66.0,600.0,C
Central Wilkes Middle School,Northwest,50.4,55.0,570.0,C
Oak Grove High,Piedmont Triad,30.0,77.0,949.0,B
Sugarloaf Elementary,Western,80.5,59.0,411.0,C
Troy Elementary,Sandhills,76.5,49.0,253.0,D
Bruce H. Tharrington Primary ,Piedmont Triad,55.7,63.0,353.0,C
Gamewell Middle,Northwest,82.2,41.0,504.0,D
Grandview Middle ,Northwest,77.7,52.0,396.0,D
South Edgecombe Middle,North Central,65.8,46.0,307.0,D
Cabarrus Early College of Technology,Southwest,32.9,92.0,221.0,A
Long Mill Elementary,North Central,56.7,68.0,390.0,C
Walter Bickett Elementary,Southwest,66.5,43.0,457.0,D
Cox Mill Elementary,Southwest,9.4,87.0,1083.0,A
Jarvisburg Elementary,Northeast,56.4,69.0,259.0,C
Hobbton High,Sandhills,55.5,68.0,475.0,C
Indian Trail Elementary,Southwest,49.6,70.0,578.0,B
Township Three Elementary,Southwest,82.2,43.0,509.0,D
William Amos Hough High,Southwest,18.2,83.0,2492.0,B
Clinton High,Sandhills,44.1,58.0,824.0,C
North Belmont Elementary,Southwest,59.5,71.0,310.0,B
East Robeson Primary,Sandhills,71.0,77.0,495.0,B
Western Rockingham Middle,Piedmont Triad,64.4,62.0,523.0,C
Warrenwood Elementary,Sandhills,69.0,46.0,371.0,D
Randolph Middle,Southwest,46.4,71.0,1131.0,B
Franklin Elementary,Piedmont Triad,73.9,60.0,444.0,C
Southern Elementary,Piedmont Triad,78.0,60.0,234.0,C
China Grove Elementary,Southwest,68.6,35.0,583.0,F
Mineral Springs Middle,Piedmont Triad,76.6,21.0,666.0,F
West Mecklenburg High School,Southwest,56.6,45.0,1206.0,D
Weaverville Elementary,Western,49.5,79.0,305.0,B
Riverside High,North Central,51.5,64.0,1730.0,C
East Wake High,North Central,63.3,63.0,1548.0,C
Monroeton Elementary,Piedmont Triad,65.9,51.0,432.0,D
Pilot Mountain Elementary,Piedmont Triad,58.0,66.0,330.0,C
Enka Intermediate,Western,69.1,49.0,575.0,D
Southern School of Energy and Sustainabi,North Central,50.6,48.0,1240.0,D
Central Elementary,Southwest,74.3,40.0,544.0,D
Holly Springs Elementary,North Central,17.4,83.0,909.0,B
E K Powe Elementary,North Central,49.9,56.0,390.0,C
Forest Pines Drive Elementary,North Central,57.0,68.0,506.0,C
East Wilkes Middle School,Northwest,46.6,55.0,371.0,C
Shady Grove Elementary,Piedmont Triad,23.3,69.0,484.0,C
Princeville Elementary,North Central,84.5,48.0,201.0,D
Stoney Creek Elementary,Piedmont Triad,65.7,50.0,143.0,D
Cumberland Academy K-5 Virtual School,Sandhills,5.8,45.0,377.0,D
William R Davie Elementary,Piedmont Triad,55.0,63.0,358.0,C
Selwyn Elementary,Southwest,16.1,85.0,659.0,A
Winecoff Elementary,Southwest,76.0,46.0,744.0,D
Terrell Lane Middle,North Central,79.1,54.0,397.0,D
Mint Hill Elementary School,Southwest,61.6,54.0,553.0,D
Swain County High School,Western,52.9,62.0,541.0,C
West Rowan Middle,Southwest,57.8,38.0,652.0,F
Cotswold Elementary,Southwest,52.1,59.0,333.0,C
West Cary Middle,North Central,26.1,82.0,869.0,B
South Elementary,Piedmont Triad,62.7,46.0,225.0,D
Kings Mountain Middle,Southwest,67.8,63.0,713.0,C
South Davie Middle,Piedmont Triad,67.6,51.0,534.0,D
Ballentine Elementary,North Central,30.9,74.0,694.0,B
Freedom High,Northwest,65.4,66.0,1375.0,C
Harrisburg Elementary,Southwest,27.6,70.0,771.0,B
Ashley Elementary,Sandhills,52.9,59.0,176.0,C
Spring Hill Middle,Sandhills,71.2,41.0,626.0,D
H H Beam Elementary,Southwest,77.7,32.0,521.0,F
Pembroke Elementary,Sandhills,73.1,48.0,657.0,D
North Stanly High,Southwest,49.9,57.0,558.0,C
Piney Grove Middle School,Piedmont Triad,59.5,65.0,223.0,C
West View Elementary,North Central,48.0,62.0,944.0,C
Wrightsboro Elementary,Southeast,71.8,43.0,470.0,D
Enka High,Western,58.9,73.0,991.0,B
Belmont Central Elementary,Southwest,31.5,70.0,682.0,B
Northwest Elementary,Southeast,46.1,62.0,719.0,C
North Buncombe Elementary,Western,53.6,69.0,568.0,C
Troutman Elementary,Southwest,51.9,65.0,710.0,C
