school,region,locale,spg_score,pct_eds
Western Alamance Middle,Piedmont Triad,Rural,46.0,27.3
Woodlawn Middle,Piedmont Triad,Rural,43.0,32.5
Alamance Virtual School,Piedmont Triad,Rural,49.0,55.2
River Mill Academy,Piedmont Triad,Suburb,74.0,11.6
Clover Garden,Piedmont Triad,Rural,58.0,11.9
The Hawbridge School,Piedmont Triad,Rural,72.0,15.7
Alamance Community School,Piedmont Triad,Rural,53.0,29.5
Alexander Central High,Northwest,Rural,64.0,33.4
Alexander Early College,Northwest,Rural,85.0,27.5
Bethlehem Elementary,Northwest,Rural,69.0,40.8
East Alexander Middle,Northwest,Rural,58.0,63.2
Ellendale Elementary,Northwest,Rural,57.0,41.8
Hiddenite Elementary,Northwest,Rural,56.0,55.0
Stony Point Elementary,Northwest,Rural,60.0,60.3
Sugar Loaf Elementary,Northwest,Rural,54.0,57.0
Taylorsville Elementary,Northwest,Rural,56.0,72.4
West Alexander Middle,Northwest,Rural,73.0,36.5
Wittenburg Elementary,Northwest,Rural,58.0,68.1
Alleghany High,Northwest,Rural,71.0,51.9
Glade Creek Elementary,Northwest,Rural,51.0,56.0
Piney Creek Elementary,Northwest,Rural,67.0,48.4
Sparta Elementary,Northwest,Rural,45.0,69.2
Anson Co. Early College High,Southwest,Town,79.0,41.4
Anson High School,Southwest,Town,55.0,50.7
Ansonville Elementary,Southwest,Town,57.0,56.4
Anson Middle,Southwest,Town,37.0,56.9
Wadesboro Primary,Southwest,Town,44.0,79.3
Lilesville Elementary,Southwest,Town,55.0,65.3
Morven Elementary,Southwest,Town,43.0,76.3
Peachland-Polkton Elem,Southwest,Town,56.0,46.9
Wadesboro Elementary,Southwest,Town,40.0,88.1
Ashe County High,Northwest,Rural,63.0,54.4
Ashe County Early College High,Northwest,Rural,86.0,35.3
Ashe County Middle,Northwest,Rural,69.0,62.4
Blue Ridge Elementary,Northwest,Rural,62.0,54.7
Mountain View Elementary,Northwest,Rural,63.0,55.5
Westwood Elementary,Northwest,Rural,68.0,51.9
Avery County High,Northwest,Rural,59.0,41.0
Banner Elk Elementary,Northwest,Rural,80.0,46.6
Cranberry Middle,Northwest,Rural,63.0,48.8
Crossnore Elementary,Northwest,Rural,62.0,53.2
Avery Middle,Northwest,Rural,38.0,60.1
Freedom Trail Elementary,Northwest,Rural,67.0,67.1
Newland Elementary,Northwest,Rural,52.0,73.0
Riverside Elementary,Northwest,Rural,51.0,56.7
Marjorie Williams Academy,Northwest,Rural,53.0,66.4
Eastern Elementary,Northeast,Rural,54.0,65.7
Bath Elementary,Northeast,Rural,76.0,23.4
Beaufort Co Early College High,Northeast,Rural,91.0,55.0
Chocowinity Middle,Northeast,Rural,60.0,65.1
Chocowinity Primary,Northeast,Rural,86.0,66.6
John C Tayloe Elementary,Northeast,Rural,54.0,52.6
John Small Elementary,Northeast,Rural,47.0,57.6
Northeast Elementary,Northeast,Rural,61.0,45.7
Northside High,Northeast,Rural,68.0,28.2
P S Jones Middle,Northeast,Rural,48.0,49.1
Southside High,Northeast,Rural,61.0,56.1
S W Snowden Elementary,Northeast,Rural,55.0,84.4
Washington High,Northeast,Rural,62.0,44.4
Washington Montessori,Northeast,Town,64.0,31.6
Bertie Early College High,Northeast,Rural,91.0,31.4
Bertie High,Northeast,Rural,60.0,56.5
Bertie Middle,Northeast,Rural,53.0,58.6
West Bertie Elementary,Northeast,Rural,52.0,69.0
Colerain Elementary,Northeast,Rural,54.0,66.0
Windsor Elementary,Northeast,Rural,57.0,73.5
Bladenboro Middle,Sandhills,Rural,44.0,50.7
Bladenboro Primary,Sandhills,Rural,50.0,83.9
Bladen Lakes Primary,Sandhills,Rural,50.0,52.9
Clarkton School of Discovery,Sandhills,Rural,57.0,64.7
Dublin Primary,Sandhills,Rural,52.0,64.2
East Arcadia Elementary,Sandhills,Rural,38.0,71.0
East Bladen High,Sandhills,Rural,51.0,41.4
Elizabethtown Middle,Sandhills,Rural,40.0,63.1
Elizabethtown Primary,Sandhills,Rural,44.0,83.2
Tar Heel School,Sandhills,Rural,42.0,64.3
West Bladen High,Sandhills,Rural,58.0,51.5
Bladen Early College,Sandhills,Rural,73.0,42.5
Paul R. Brown Leadership Academy,Sandhills,Rural,69.0,94.9
Emereau Bladen,Sandhills,Rural,59.0,40.0
Belville Elementary,Southeast,Rural,63.0,42.6
Bolivia Elementary,Southeast,Rural,52.0,57.6
Brunswick County Early College,Southeast,Rural,90.0,37.8
Cedar Grove Middle,Southeast,Rural,50.0,62.2
Jessie Mae Monroe Elementary,Southeast,Rural,62.0,61.6
Leland Middle,Southeast,Rural,47.0,50.1
Lincoln Elementary,Southeast,Rural,52.0,60.9
North Brunswick High,Southeast,Rural,63.0,41.3
Shallotte Middle,Southeast,Rural,60.0,58.5
South Brunswick High,Southeast,Rural,63.0,40.1
South Brunswick Middle,Southeast,Rural,61.0,38.6
Southport Elementary,Southeast,Rural,63.0,49.4
Supply Elementary,Southeast,Rural,49.0,72.8
Town Creek Elementary,Southeast,Rural,74.0,43.2
Union Elementary,Southeast,Rural,76.0,50.4
Town Creek Middle,Southeast,Rural,59.0,41.9
Virginia Williamson Elem,Southeast,Rural,59.0,61.1
Waccamaw,Southeast,Rural,68.0,64.4
West Brunswick High,Southeast,Rural,62.0,53.9
Classical Charter Schools of Leland,Southeast,Rural,70.0,15.5
Classical Charter Schools of Southport,Southeast,Rural,77.0,9.7
Reynolds High,Western,Suburb,75.0,44.5
Reynolds Middle,Western,Suburb,55.0,60.5
Barnardsville Elementary,Western,Suburb,76.0,56.9
Black Mountain Elementary,Western,Suburb,59.0,53.4
Black Mountain Primary,Western,Suburb,57.0,57.8
Early College,Western,Suburb,87.0,61.3
Center for Career Innovation,Western,Suburb,96.0,31.6
Candler Elementary,Western,Suburb,67.0,72.6
Cane Creek Middle,Western,Suburb,75.0,35.4
Bell Elementary,Western,Suburb,68.0,54.4
Owen High,Western,Suburb,70.0,50.1
Owen Middle,Western,Suburb,47.0,62.8
Erwin High,Western,Suburb,55.0,66.3
Erwin Middle,Western,Suburb,41.0,76.6
Emma Elementary,Western,Suburb,50.0,62.9
Enka High,Western,Suburb,66.0,58.9
Fairview Elementary,Western,Suburb,75.0,42.4
Glen Arden Elementary,Western,Suburb,71.0,35.0
Haw Creek Elementary,Western,Suburb,70.0,43.5
Hominy Valley Elementary,Western,Suburb,65.0,51.0
Johnston Elementary,Western,Suburb,41.0,70.0
Leicester Elementary,Western,Suburb,60.0,70.5
North Buncombe Elementary,Western,Suburb,70.0,53.6
North Buncombe High,Western,Suburb,73.0,43.6
North Buncombe Middle,Western,Suburb,67.0,45.6
North Windy Ridge Intermediate,Western,Suburb,64.0,45.9
Oakley Elementary,Western,Suburb,48.0,51.2
Pisgah Elementary,Western,Suburb,64.0,67.5
Enka Middle,Western,Suburb,45.0,65.1
Sand Hill-Venable Elem,Western,Suburb,56.0,77.9
Avery's Creek Elementary,Western,Suburb,58.0,68.4
Williams Elementary,Western,Suburb,49.0,51.6
Roberson High,Western,Suburb,74.0,43.9
Valley Springs Middle,Western,Suburb,67.0,55.1
Estes Elementary,Western,Suburb,62.0,52.4
Enka Intermediate,Western,Suburb,54.0,69.1
Weaverville Elementary,Western,Suburb,76.0,49.5
Weaverville Primary,Western,Suburb,76.0,41.7
West Buncombe Elementary,Western,Suburb,76.0,67.8
Woodfin Elementary,Western,Suburb,37.0,53.0
Koontz Intermediate,Western,Suburb,55.0,51.0
Eblen Intermediate,Western,Suburb,43.0,77.6
Buncombe County Schools Virtual Academy,Western,Suburb,60.0,52.2
Nesbitt Discovery Academy,Western,Suburb,95.0,21.8
Asheville High,Western,City,74.0,32.7
Hall Fletcher Elementary,Western,City,56.0,57.0
Isaac Dickson Elementary,Western,City,64.0,38.3
Claxton Elementary,Western,City,67.0,38.5
Ira B Jones Elementary,Western,City,56.0,47.9
Asheville Middle,Western,City,55.0,49.7
Lucy S. Herring Elementary,Western,City,69.0,52.0
SILSA,Western,City,83.0,33.0
Evergreen Community Charter,Western,City,69.0,31.5
ArtSpace Charter School,Western,Rural,69.0,13.8
IC Imagine,Western,Suburb,56.0,34.0
The Franklin School of Innovation,Western,Suburb,60.0,13.4
Asheville PEAK Academy,Western,Suburb,57.0,69.7
Francine Delany New School,Western,City,58.0,15.5
Burke Virtual Academy,Northwest,Rural,54.0,60.6
Burke Middle College,Northwest,Rural,93.0,34.7
Drexel Elementary,Northwest,Rural,59.0,77.1
East Burke High,Northwest,Rural,66.0,63.7
East Burke Middle,Northwest,Rural,55.0,70.9
Forest Hill Elementary,Northwest,Rural,51.0,80.4
Freedom High,Northwest,Rural,60.0,65.4
George Hildebrand Elementary,Northwest,Rural,74.0,82.0
Glen Alpine Elementary,Northwest,Rural,67.0,76.8
Heritage Middle,Northwest,Rural,61.0,64.2
Hildebran Elementary,Northwest,Rural,62.0,68.3
Hillcrest Elementary,Northwest,Rural,53.0,93.3
Icard Elementary,Northwest,Rural,61.0,73.4
Draughn High School,Northwest,Rural,70.0,51.8
Liberty Middle,Northwest,Rural,60.0,59.3
Mountain View Elementary,Northwest,Rural,53.0,79.8
Mull Elementary,Northwest,Rural,67.0,67.3
Oak Hill Elementary,Northwest,Rural,52.0,71.2
Ray Childers Elementary,Northwest,Rural,66.0,74.2
Patton High School,Northwest,Rural,73.0,55.2
Salem Elementary,Northwest,Rural,65.0,68.9
Table Rock Middle,Northwest,Rural,52.0,71.9
Valdese Elementary,Northwest,Rural,62.0,65.5
W A Young Elementary,Northwest,Rural,50.0,78.4
Walter R Johnson Middle,Northwest,Rural,50.0,89.9
New Dimensions,Northwest,City,63.0,31.8
A T Allen Elementary,Southwest,Rural,61.0,69.4
Cox Mill High School,Southwest,Rural,86.0,14.6
Bethel Elementary,Southwest,Rural,76.0,48.7
Central Cabarrus High,Southwest,Rural,65.0,56.9
Coltrane-Webb Elementary,Southwest,Rural,58.0,52.4
Harrisburg Elementary,Southwest,Rural,84.0,27.6
Concord Middle,Southwest,Rural,32.0,60.4
Concord High,Southwest,Rural,64.0,66.5
J N Fries Magnet School,Southwest,Rural,61.0,43.1
Jay M Robinson High,Southwest,Rural,68.0,51.4
C C Griffin Middle,Southwest,Rural,54.0,56.9
Cox Mill Elementary,Southwest,Rural,88.0,9.4
Harris Road Middle,Southwest,Rural,88.0,15.6
Carl A Furr Elementary,Southwest,Rural,56.0,60.2
Mount Pleasant Elementary,Southwest,Rural,72.0,44.1
Mount Pleasant Middle,Southwest,Rural,64.0,46.7
Mount Pleasant High,Southwest,Rural,69.0,39.4
Charles E Boger Elementary,Southwest,Rural,72.0,47.1
Northwest Cabarrus High,Southwest,Rural,74.0,36.5
Northwest Cabarrus Middle,Southwest,Rural,70.0,58.7
Royal Oaks Elementary,Southwest,Rural,69.0,57.9
Rocky River Elementary,Southwest,Rural,64.0,73.0
R Brown McAllister Elementary,Southwest,Rural,64.0,38.1
Pitts School Road Elementary,Southwest,Rural,74.0,49.4
Hickory Ridge High,Southwest,Rural,80.0,19.6
W R Odell Primary,Southwest,Rural,90.0,13.8
W R Odell Elementary,Southwest,Rural,90.0,13.9
Weddington Hills Elementary,Southwest,Rural,70.0,57.9
West Cabarrus High,Southwest,Rural,64.0,60.5
Winecoff Elementary,Southwest,Rural,51.0,76.0
W M Irvin Elementary,Southwest,Rural,56.0,55.0
Wolf Meadow Elementary,Southwest,Rural,39.0,63.2
Patriots Elementary,Southwest,Rural,70.0,39.0
Hickory Ridge Middle,Southwest,Rural,85.0,17.0
Hickory Ridge Elementary,Southwest,Rural,85.0,15.4
Cabarrus Health Sciences Institute,Southwest,Rural,81.0,33.9
Cabarrus Early College of Technology,Southwest,Rural,91.0,32.9
Cabarrus-Kannapolis Early Coll,Southwest,Rural,93.0,30.6
Harold E. Winkler Middle,Southwest,Rural,54.0,42.9
Cabarrus County Schools Virtual Academy,Southwest,Rural,69.0,32.0
Roberta Road Middle,Southwest,Rural,56.0,56.4
A L Brown High,Southwest,Suburb,51.0,52.1
Forest Park Elementary,Southwest,Suburb,53.0,63.9
Fred L Wilson Elementary,Southwest,Suburb,54.0,59.6
GW Carver Elementary,Southwest,Suburb,54.0,73.6
Jackson Park Elementary,Southwest,Suburb,67.0,64.6
Kannapolis Middle School 7/8,Southwest,Suburb,36.0,59.5
Shady Brook Elementary,Southwest,Suburb,45.0,65.9
North Kannapolis Elementary,Southwest,Suburb,54.0,63.9
Carolina International School,Southwest,Rural,59.0,15.5
Valor Preparatory Academy,Southwest,Rural,39.0,38.5
A.C.E. Academy,Southwest,Rural,50.0,55.2
Concord Lake STEAM Academy,Southwest,Rural,63.0,66.5
Baton Elementary,Northwest,Suburb,61.0,66.9
Caldwell Applied Sciences Academy,Northwest,Suburb,84.0,38.5
Collettsville School,Northwest,Suburb,55.0,68.2
Caldwell Early College,Northwest,Suburb,83.0,40.0
Davenport A+ School,Northwest,Suburb,56.0,83.4
Dudley Shoals Elementary,Northwest,Suburb,60.0,67.7
Gamewell Elementary,Northwest,Suburb,45.0,82.1
Gamewell Middle,Northwest,Suburb,39.0,82.2
Granite Falls Middle,Northwest,Suburb,66.0,53.2
Granite Falls Elementary,Northwest,Suburb,67.0,55.8
Happy Valley Elementary,Northwest,Suburb,49.0,73.5
Hibriten High,Northwest,Suburb,62.0,61.5
Hudson Elementary,Northwest,Suburb,65.0,71.8
Hudson Middle,Northwest,Suburb,53.0,62.4
Kings Creek Elementary,Northwest,Suburb,43.0,69.2
William Lenoir Middle,Northwest,Suburb,58.0,63.3
Lower Creek Elementary,Northwest,Suburb,61.0,58.7
Sawmills Elementary,Northwest,Suburb,55.0,69.5
South Caldwell High,Northwest,Suburb,63.0,49.6
Valmead Elementary,Northwest,Suburb,47.0,86.6
West Caldwell High,Northwest,Suburb,53.0,70.6
Whitnel Elementary,Northwest,Suburb,50.0,78.3
Oak Hill Charter School,Northwest,Suburb,42.0,57.9
Camden County High,Northeast,Rural,67.0,25.1
Grandy Primary,Northeast,Rural,61.0,31.8
Camden Intermediate,Northeast,Rural,61.0,24.8
Camden Middle,Northeast,Rural,69.0,26.8
Camden Early College High,Northeast,Rural,84.0,16.3
Atlantic Elementary,Southeast,Rural,77.0,52.9
Bogue Sound Elementary,Southeast,Rural,77.0,38.5
Beaufort Elementary,Southeast,Rural,71.0,50.0
Beaufort Middle,Southeast,Rural,64.0,42.4
Broad Creek Middle,Southeast,Rural,75.0,25.8
East Carteret High,Southeast,Rural,79.0,46.7
Croatan High,Southeast,Rural,86.0,26.8
Harkers Island Elementary,Southeast,Rural,69.0,49.6
Morehead Elem at Camp Glenn,Southeast,Rural,61.0,39.9
Morehead City Middle,Southeast,Rural,68.0,32.3
Morehead City Primary,Southeast,Rural,68.0,39.4
Newport Elementary,Southeast,Rural,67.0,52.2
Newport Middle,Southeast,Rural,54.0,48.8
Down East Middle and Smyrna Elementary,Southeast,Rural,61.0,30.5
West Carteret High,Southeast,Rural,71.0,41.7
White Oak Elementary,Southeast,Rural,74.0,20.8
Tiller School,Southeast,Rural,72.0,26.6
Bartlett Yancey High,Piedmont Triad,Rural,60.0,64.0
North Elementary,Piedmont Triad,Rural,67.0,65.1
N L Dillard Middle,Piedmont Triad,Rural,39.0,72.3
Oakwood Elementary,Piedmont Triad,Rural,51.0,73.9
South Elementary,Piedmont Triad,Rural,56.0,62.7
Stoney Creek Elementary,Piedmont Triad,Rural,49.0,65.7
Harry M Arndt Middle,Northwest,Rural,57.0,62.5
Balls Creek Elementary,Northwest,Rural,70.0,58.2
Bandys High,Northwest,Rural,78.0,32.1
Banoak Elementary,Northwest,Rural,65.0,57.6
Blackburn Elementary,Northwest,Rural,67.0,57.3
Bunker Hill High,Northwest,Rural,60.0,57.6
Catawba Elementary School,Northwest,Rural,60.0,73.2
Challenger Early College High,Northwest,Rural,93.0,41.7
Charles H Tuttle Elementary,Northwest,Rural,66.0,56.0
Claremont Elementary,Northwest,Rural,61.0,73.6
Clyde Campbell Elementary,Northwest,Rural,66.0,52.3
Fred T Foard High,Northwest,Rural,74.0,42.4
Jacobs Fork Middle,Northwest,Rural,63.0,48.2
Lyle Creek Elementary,Northwest,Rural,57.0,75.9
Maiden Elementary,Northwest,Rural,67.0,61.0
Maiden Middle School,Northwest,Rural,60.0,52.1
Maiden High,Northwest,Rural,61.0,47.3
Mill Creek Middle,Northwest,Rural,53.0,41.0
Mountain View Elementary,Northwest,Rural,71.0,49.4
Oxford Elementary,Northwest,Rural,50.0,70.6
River Bend Middle,Northwest,Rural,51.0,69.0
Sherrills Ford Elementary,Northwest,Rural,72.0,31.5
Saint Stephens Elementary,Northwest,Rural,45.0,79.6
Saint Stephens High,Northwest,Rural,68.0,55.1
Snow Creek Elementary,Northwest,Rural,68.0,57.7
Startown Elementary,Northwest,Rural,61.0,57.0
Webb A Murray Elementary,Northwest,Rural,53.0,82.5
Northview Middle,Northwest,City,49.0,57.1
Grandview Middle,Northwest,City,53.0,77.7
Hickory Career Arts Magnet High School,Northwest,City,72.0,58.1
Hickory High,Northwest,City,59.0,61.5
W M Jenkins Elementary,Northwest,City,63.0,55.5
Longview Elementary,Northwest,City,54.0,73.5
Oakwood Elementary,Northwest,City,73.0,57.1
Southwest Primary,Northwest,City,54.0,74.9
Viewmont Elementary,Northwest,City,45.0,77.3
Newton-Conover High,Northwest,Suburb,58.0,58.7
Newton-Conover Middle,Northwest,Suburb,57.0,66.5
Shuford Elementary,Northwest,Suburb,69.0,57.5
South Newton Elementary,Northwest,Suburb,57.0,74.7
North Newton Elementary,Northwest,Suburb,70.0,76.4
Discovery High School,Northwest,Suburb,86.0,24.5
Bennett School,North Central,Rural,75.0,52.2
Bonlee School,North Central,Rural,58.0,62.0
Chatham County Schools Virtual Academy,North Central,Rural,51.0,42.4
Chatham Middle,North Central,Rural,49.0,89.9
Chatham Central High,North Central,Rural,76.0,47.4
George M. Horton Middle,North Central,Rural,72.0,39.8
J S Waters School,North Central,Rural,67.0,60.4
Jordan-Matthews High,North Central,Rural,59.0,77.8
Margaret B. Pollard Middle,North Central,Rural,74.0,20.5
Moncure School,North Central,Rural,60.0,47.1
North Chatham Elementary,North Central,Rural,77.0,32.9
Northwood High,North Central,Rural,77.0,30.3
Perry W Harrison Elementary,North Central,Rural,80.0,32.3
Pittsboro Elementary,North Central,Rural,71.0,44.3
Seaforth High,North Central,Rural,80.0,24.7
Siler City Elementary,North Central,Rural,56.0,86.9
Silk Hope School,North Central,Rural,66.0,53.1
Chatham Grove Elementary,North Central,Rural,78.0,18.6
Virginia Cross Elementary,North Central,Rural,55.0,95.0
Chatham Early College,North Central,Rural,96.0,29.8
Chatham Charter,North Central,Rural,80.0,8.4
Woods Charter,North Central,Rural,86.0,8.5
Willow Oak Montessori,North Central,Rural,60.0,5.0
Andrews Elementary,Western,Rural,49.0,64.7
Andrews High,Western,Rural,61.0,62.5
Andrews Middle,Western,Rural,53.0,69.1
Hiwassee Dam Middle,Western,Rural,69.0,52.0
Hiwassee Dam High,Western,Rural,74.0,58.4
Martins Creek Elementary,Western,Rural,51.0,45.5
Murphy Elementary,Western,Rural,64.0,57.0
Murphy High,Western,Rural,71.0,55.7
Murphy Middle,Western,Rural,59.0,63.5
Peachtree Elementary,Western,Rural,73.0,65.3
Ranger Elementary,Western,Rural,62.0,59.6
Tri-County Early College High,Western,Rural,79.0,62.4
Chowan Middle,Northeast,Rural,50.0,68.2
D F Walker Elementary,Northeast,Rural,53.0,70.3
John A Holmes High,Northeast,Rural,67.0,58.1
White Oak Elementary,Northeast,Rural,53.0,64.5
Hayesville Primary School,Western,Rural,62.0,65.5
Hayesville Elementary,Western,Rural,62.0,66.3
Hayesville High,Western,Rural,71.0,50.3
Hayesville Middle,Western,Rural,65.0,64.2
Bethware Elementary,Southwest,Rural,71.0,67.0
Boiling Springs Elementary,Southwest,Rural,77.0,63.2
Burns High,Southwest,Rural,63.0,60.0
Burns Middle,Southwest,Rural,58.0,69.2
Casar Elementary,Southwest,Rural,77.0,62.1
Cleveland ECHS,Southwest,Rural,85.0,56.6
Cleveland Innovation,Southwest,Rural,67.0,54.8
Crest High,Southwest,Rural,64.0,56.2
Crest Middle,Southwest,Rural,62.0,67.9
East Elementary,Southwest,Rural,64.0,84.8
Elizabeth Elementary,Southwest,Rural,56.0,84.4
Fallston Elementary,Southwest,Rural,62.0,63.5
Grover Elementary,Southwest,Rural,71.0,79.7
James Love Elementary,Southwest,Rural,46.0,82.2
Jefferson Elementary,Southwest,Rural,67.0,60.9
Kings Mountain High,Southwest,Rural,63.0,57.6
Kings Mountain Intermediate,Southwest,Rural,61.0,69.5
Kings Mountain Middle,Southwest,Rural,56.0,67.8
North Elementary,Southwest,Rural,71.0,72.7
Shelby High,Southwest,Rural,56.0,67.6
Shelby Middle,Southwest,Rural,56.0,82.2
Springmore Elementary,Southwest,Rural,78.0,63.1
Township Three Elementary,Southwest,Rural,49.0,82.2
Union Elementary,Southwest,Rural,63.0,78.3
Washington Elementary,Southwest,Rural,58.0,74.2
West Elementary,Southwest,Rural,64.0,60.6
Pinnacle Classical Academy,Southwest,Rural,62.0,24.0
Acme Delco Elementary,Sandhills,Rural,51.0,63.9
Chadbourn Elementary,Sandhills,Rural,55.0,87.0
East Columbus Junior-Senior High,Sandhills,Rural,44.0,54.0
Hallsboro-Artesia Elementary,Sandhills,Rural,56.0,69.2
Nakina Middle,Sandhills,Rural,60.0,55.3
Old Dock Elementary,Sandhills,Rural,74.0,62.2
South Columbus High,Sandhills,Rural,56.0,50.7
Columbus Career and College Academy,Sandhills,Rural,80.0,47.3
West Columbus High,Sandhills,Rural,55.0,63.6
West Columbus School,Sandhills,Rural,46.0,69.7
Williams Township,Sandhills,Rural,52.0,55.4
Central Middle,Sandhills,Town,56.0,63.1
Edgewood Elementary,Sandhills,Town,59.0,69.0
Whiteville High,Sandhills,Town,60.0,49.8
Whiteville Primary,Sandhills,Town,59.0,76.2
Classical Charter Schools of Whiteville,Sandhills,Rural,55.0,37.0
Albert H Bangert Elementary,Southeast,Town,71.0,50.9
Ben D. Quinn Elementary,Southeast,Town,56.0,57.2
Bridgeton Elementary,Southeast,Town,53.0,71.6
Brinson Memorial Elementary,Southeast,Town,59.0,55.5
Craven Early College High,Southeast,Town,87.0,42.2
Creekside Elementary,Southeast,Town,79.0,29.1
Vanceboro-Farm Life Elementary,Southeast,Town,47.0,63.4
Early College EAST High,Southeast,Town,84.0,22.6
Grover C Fields Middle,Southeast,Town,68.0,43.6
Graham A Barden Elementary,Southeast,Town,47.0,73.9
H J MacDonald Middle,Southeast,Town,56.0,54.6
Havelock Elementary,Southeast,Town,54.0,65.9
Havelock High,Southeast,Town,66.0,50.4
Havelock Middle,Southeast,Town,53.0,55.2
J.T. Barber Elementary,Southeast,Town,49.0,77.7
James W Smith Elementary,Southeast,Town,61.0,64.7
New Bern High,Southeast,Town,57.0,53.1
Oaks Road Academy,Southeast,Town,45.0,66.7
Roger Bell New Tech Academy,Southeast,Town,63.0,53.4
Trent Park Elementary,Southeast,Town,58.0,66.0
Tucker Creek Middle,Southeast,Town,73.0,44.9
West Craven High,Southeast,Town,52.0,52.3
West Craven Middle,Southeast,Town,42.0,58.5
W Jesse Gurganus Elementary,Southeast,Town,75.0,45.0
Craven Virtual Academy,Southeast,Town,39.0,8.5
Arthur W Edwards Elementary,Southeast,Town,52.0,49.7
Alma O Easom Elementary,Sandhills,City,75.0,44.7
Armstrong Elementary,Sandhills,City,76.0,47.3
Ashley Elementary,Sandhills,City,60.0,52.9
Loyd E Auman Elementary,Sandhills,City,57.0,62.0
Beaver Dam Elementary,Sandhills,City,91.0,58.2
Jack Britt High,Sandhills,City,80.0,38.4
Brentwood Elementary,Sandhills,City,53.0,72.2
Douglas Byrd Middle,Sandhills,City,38.0,72.8
Douglas Byrd High,Sandhills,City,58.0,68.8
Cape Fear High,Sandhills,City,75.0,49.8
Elizabeth M Cashwell Elementary,Sandhills,City,47.0,70.8
Eastover-Central Elementary,Sandhills,City,76.0,43.6
Anne Chesnutt Middle,Sandhills,City,56.0,59.8
Cliffdale Elementary,Sandhills,City,46.0,68.9
College Lakes Elementary,Sandhills,City,50.0,70.4
C Wayne Collier Elementary,Sandhills,City,61.0,62.2
J W Coon Elementary,Sandhills,City,46.0,72.1
Cumberland International Early College,Sandhills,City,94.0,54.9
Cumberland Mills Elementary,Sandhills,City,52.0,66.0
Cumberland Road Elementary,Sandhills,City,54.0,70.7
Cross Creek Early College,Sandhills,City,97.0,57.8
District No 7 Elementary,Sandhills,City,59.0,37.3
Gray's Creek High,Sandhills,City,68.0,42.7
Luther Nick Jeralds Middle,Sandhills,City,45.0,75.7
E E Smith High,Sandhills,City,60.0,60.8
Ferguson-Easley Elementary,Sandhills,City,43.0,86.9
Gray's Creek Middle,Sandhills,City,60.0,50.4
Glendale Acres Elementary,Sandhills,City,60.0,59.3
Alderman Road Elementary,Sandhills,City,58.0,47.8
R Max Abbott Middle,Sandhills,City,54.0,52.6
Howard L Hall Elementary,Sandhills,City,65.0,39.1
Bill Hefner Elementary,Sandhills,City,50.0,60.2
Hope Mills Middle,Sandhills,City,60.0,56.1
John R Griffin Middle,Sandhills,City,67.0,39.9
Ed V Baldwin Elementary,Sandhills,City,45.0,61.1
Lewis Chapel Middle,Sandhills,City,49.0,72.8
Gallberry Farm Elementary,Sandhills,City,62.0,43.0
Gray's Creek Elementary,Sandhills,City,75.0,31.2
Long Hill Elementary,Sandhills,City,70.0,38.9
Lucile Souders Elementary,Sandhills,City,45.0,77.2
Mac Williams Middle,Sandhills,City,52.0,57.6
Margaret Willis Elementary,Sandhills,City,50.0,78.6
