school,region,locale,spg_score,pct_eds
North Carolina Cyber Academy,Virtual,City,51.0,16.3
NC Virtual Academy,Virtual,Rural,48.0,28.0
ABSS Early College at ACC,Piedmont Triad,Rural,96.0,43.8
Alexander Wilson Elementary,Piedmont Triad,Rural,59.0,33.9
Altamahaw-Ossipee Elementary,Piedmont Triad,Rural,57.0,45.6
Broadview Middle,Piedmont Triad,Rural,37.0,55.3
Highland Elementary,Piedmont Triad,Rural,58.0,26.4
E M Yoder Elementary,Piedmont Triad,Rural,63.0,44.6
Eastern Alamance High,Piedmont Triad,Rural,65.0,25.0
Eastlawn Elementary,Piedmont Triad,Rural,37.0,60.5
Edwin M Holt Elementary,Piedmont Triad,Rural,61.0,25.9
Elon Elementary,Piedmont Triad,Rural,56.0,32.5
B. Everett Jordan Elementary,Piedmont Triad,Rural,43.0,55.9
Audrey W. Garrett Elementary,Piedmont Triad,Rural,65.0,59.2
Graham High,Piedmont Triad,Rural,49.0,44.1
Graham Middle,Piedmont Triad,Rural,27.0,46.6
Grove Park Elementary,Piedmont Triad,Rural,41.0,59.3
Hawfields Middle,Piedmont Triad,Rural,71.0,33.8
Harvey R Newlin Elementary,Piedmont Triad,Rural,35.0,76.6
Haw River Elementary,Piedmont Triad,Rural,38.0,50.3
Hillcrest Elementary,Piedmont Triad,Rural,41.0,56.7
Hugh M Cummings High,Piedmont Triad,Rural,45.0,76.2
Marvin B Smith Elementary,Piedmont Triad,Rural,72.0,28.5
North Graham Elementary,Piedmont Triad,Rural,28.0,57.2
Pleasant Grove Elementary,Piedmont Triad,Rural,37.0,46.9
R Homer Andrews Elementary,Piedmont Triad,Rural,41.0,45.5
South Graham Elementary,Piedmont Triad,Rural,47.0,73.8
South Mebane Elementary,Piedmont Triad,Rural,56.0,41.2
Southern Alamance High,Piedmont Triad,Rural,60.0,34.5
Southern Alamance Middle,Piedmont Triad,Rural,43.0,37.0
Sylvan Elementary,Piedmont Triad,Rural,44.0,62.4
Turrentine Middle,Piedmont Triad,Rural,39.0,44.3
Walter M Williams High,Piedmont Triad,Rural,58.0,35.6
Western Alamance High,Piedmont Triad,Rural,69.0,28.6
