school,region,g_lat,g_lon,spg_grade,spg_score
West Oxford Elementary,North Central,36.32227,-78.61259,F,37.0
Martins Creek Elementary/Mid,Western,35.0195,-84.0186,C,69.0
Mangum Elementary,North Central,36.1698,-78.8765,B,75.0
Lockhart Elementary,North Central,35.8032,-78.4855,D,49.0
Cabarrus-Kannapolis Early Coll,Southwest,35.4376,-80.6597,A,93.0
Cane Creek Middle,Western,35.4845,-82.4336,B,74.0
West Columbus High,Sandhills,34.3281,-78.924,D,48.0
Havelock Elementary,Southeast,34.8775,-76.9004,D,53.0
Rankin Elementary,Piedmont Triad,36.12038,-79.76477,F,39.0
North Rowan Middle,Southwest,35.7027,-80.4285,F,38.0
South View Middle,Sandhills,34.9807,-78.9298,D,45.0
University Meadows Elementary,Southwest,35.3155,-80.7145,F,36.0
Pilot Elementary,Piedmont Triad,35.8789,-80.1343,C,56.0
Eastern Guilford Middle,Piedmont Triad,36.0925,-79.6161,F,37.0
Granite Falls Middle,Northwest,35.80041,-81.43869,C,66.0
Northview Middle ,Northwest,35.7673,-81.3246,C,56.0
W A Pattillo Middle,North Central,35.90484,-77.52424,F,30.0
Westarea Elementary,Sandhills,35.0984,-78.9127,D,45.0
Parkland High,Piedmont Triad,36.057,-80.2571,D,46.0
Fred A Anderson Elementary,Southeast,35.1397,-76.7792,C,59.0
J Sam Gentry Middle,Piedmont Triad,36.4997,-80.6555,C,61.0
Jack Britt High,Sandhills,34.9773,-79.0113,B,84.0
Knotts Island Elementary,Northeast,36.5136,-75.92,B,74.0
Edgecombe Early College High,North Central,35.8794,-77.5723,A,88.0
Holly Grove Middle,North Central,35.6312,-78.8485,B,79.0
Baton Elementary,Northwest,35.8088,-81.536,C,61.0
Hiwassee Dam High,Western,35.1039,-84.2237,C,57.0
East Millbrook Middle,North Central,35.85639,-78.57764,D,40.0
Cornatzer Elementary,Piedmont Triad,35.8976,-80.494,C,62.0
Albemarle High,Southwest,35.37123,-80.19314,D,48.0
Holly Springs High,North Central,35.628,-78.8487,B,83.0
North Wilkesboro Elementary School,Northwest,36.1778,-81.1385,C,58.0
Montclair Elementary,Sandhills,35.0555,-78.9613,D,54.0
Roanoke Rapids High School,Northeast,36.4589,-77.6537,D,53.0
Cove Creek Elementary,Northwest,36.25944,-81.74796,C,60.0
Hudson Elementary,Northwest,35.84904,-81.48276,C,63.0
Fallston Elementary,Southwest,35.4265,-81.4998,C,64.0
Valley Springs Middle,Western,35.4847,-82.5415,C,67.0
Dillard Middle,Southeast,35.3679,-77.9932,F,37.0
Wilkes Central High School,Northwest,36.1099,-81.1785,C,62.0
