school,region,g_lat,g_lon,spg_grade,spg_score
South Harnett Elementary,North Central,35.2981,-78.8947,D,47.0
Fairview Elementary,Western,35.3559,-83.1947,C,62.0
Bailey Elementary,North Central,35.78211,-78.11548,C,55.0
Glenwood Elementary,North Central,35.9063,-79.0266,B,84.0
Lucama Elementary,North Central,35.6414,-78.0015,B,83.0
Concord High,Southwest,35.4334,-80.5824,C,59.0
Central Elementary,Northeast,36.3892,-76.0092,D,53.0
East Forsyth Middle School,Piedmont Triad,36.13353,-80.12869,F,36.0
Marvin Ridge Middle,Southwest,34.9735,-80.7937,A,92.0
Drexel Elementary,Northwest,35.7495,-81.6087,B,73.0
C C Griffin Middle,Southwest,35.3088,-80.5876,C,56.0
Alma O Easom Elementary,Sandhills,35.06088,-78.90852,B,73.0
Currituck County Middle,Northeast,36.3709,-75.9678,D,54.0
Lakewood High,Sandhills,34.99078,-78.50217,C,64.0
Scotland High School,Sandhills,34.7781,-79.4774,D,53.0
East Columbus Junior-Senior High,Sandhills,34.3359,-78.5016,D,47.0
Williams Township,Sandhills,34.20411,-78.76356,C,55.0
Washington Elementary,Piedmont Triad,36.0681,-79.774,D,49.0
ISS Virtual Academy,Southwest,35.79476,-80.86412,C,62.0
Union Elementary,Sandhills,34.6352,-79.2468,C,61.0
Apex Friendship High,North Central,35.7003,-78.91073,A,88.0
Bessemer Elementary,Piedmont Triad,36.0896,-79.7378,D,44.0
Grimsley High,Piedmont Triad,36.08298,-79.81456,B,75.0
J Glenn Edwards Elementary,North Central,35.4392,-79.1505,C,55.0
Swansboro Elementary,Southeast,34.69482,-77.13969,B,71.0
Chicod,Northeast,35.46396,-77.27157,B,81.0
Vanceboro-Farm Life Elementary,Southeast,35.30751,-77.14657,D,51.0
Gaston Early College of Medical Sciences,Southwest,35.31121,-81.18912,A,95.0
Wiley Accel/Enrichment,Piedmont Triad,36.0486,-79.8022,F,33.0
Southside Ashpole Elementary,Sandhills,34.53236,-79.29777,F,36.0
Williamsburg Elementary,Piedmont Triad,36.2901,-79.6166,D,53.0
Carson High,Southwest,35.563,-80.5457,C,64.0
Alston Ridge Middle,North Central,35.85508,-78.90445,B,84.0
Midway Middle,Sandhills,35.16701,-78.53229,C,65.0
Wesley Chapel Elementary,Southwest,35.0055,-80.6729,A,89.0
Claremont Elementary,Northwest,35.7165,-81.143,C,59.0
Swann Middle School,Piedmont Triad,36.0841,-79.7807,D,42.0
Middle College at GTCC-Greensboro,Piedmont Triad,36.08885,-79.72752,B,83.0
Sadie Saulter,Northeast,35.60927,-77.38568,C,60.0
Bunn High,North Central,35.9547,-78.2493,C,66.0
Silk Hope School,North Central,35.7807,-79.3666,C,62.0
Heritage Elementary School ,Southeast,34.88715,-77.54412,C,56.0
Southeast Raleigh High,North Central,35.7456,-78.604,D,53.0
Anderson Creek Primary,North Central,35.2818,-78.9172,D,47.0
McAlpine Elementary,Southwest,35.0818,-80.8281,B,73.0
Spring Hope Elementary,North Central,35.951,-78.1093,D,47.0
Frederick Douglass Elementary,North Central,35.8069,-77.871,C,64.0
Bill Hefner Elementary,Sandhills,35.0685,-79.045,D,52.0
Parkwood High,Southwest,34.902,-80.6314,B,74.0
West Greene Elementary,Southeast,35.454,-77.6865,D,49.0
Richlands High,Southeast,34.8921,-77.5442,C,69.0
Sunny View Elementary School,Western,35.3713,-82.1831,C,63.0
Pine Forest High,Sandhills,35.1548,-78.8865,B,72.0
North Forsyth High,Piedmont Triad,36.1741,-80.2822,D,45.0
Pines Elementary,Northeast,35.87143,-76.60993,D,50.0
Riverwood Middle,North Central,35.69217,-78.42235,D,51.0
Wiley Magnet Middle,Piedmont Triad,36.0981,-80.266,F,39.0
Eastern Randolph High School,Piedmont Triad,35.7555,-79.6175,D,51.0
Belvoir Elementary,Northeast,35.6676,-77.4175,D,46.0
Parkside Elementary,North Central,35.84288,-78.86135,B,80.0
Scotland Neck Elementary Leadership Acad,Northeast,36.12692,-77.42824,F,31.0
Princeton Elementary,North Central,35.4651,-78.1766,C,69.0
McKee Road Elementary,Southwest,35.0683,-80.7548,B,82.0
Roland-Grise Middle,Southeast,34.206,-77.8892,B,70.0
Forest Hills Middle,North Central,35.74028,-77.95058,C,58.0
Springfield Middle,North Central,35.6763,-78.0299,C,67.0
Yadkin Early College,Piedmont Triad,36.14797,-80.67367,A,89.0
Ida Rankin Elementary School,Southwest,35.2978,-81.0202,C,69.0
Peterson Elementary,Sandhills,34.8116,-79.1901,F,38.0
Nancy Reynolds Elementary School,Piedmont Triad,36.43748,-80.34395,C,63.0
Moravian Falls Elementary School,Northwest,36.0975,-81.1805,A,85.0
Northwest Guilford Middle,Piedmont Triad,36.1564,-79.9519,B,80.0
West End Elementary,Sandhills,35.2605,-79.581,B,78.0
North Chatham Elementary,North Central,35.8221,-79.0376,C,68.0
Jacksonville High,Southeast,34.7844,-77.427,B,78.0
Turner Creek Elementary,North Central,35.7727,-78.8752,B,74.0
Ward Elementary,Piedmont Triad,36.0259,-80.33654,D,51.0
Enfield Middle S.T.E.A.M. Academy,Northeast,36.17703,-77.69661,F,35.0
River Oaks Academy,Southwest,35.3083,-80.9786,D,51.0
Ogden Elementary,Southeast,34.26587,-77.80922,A,86.0
Wheatmore High School,Piedmont Triad,35.8291,-80.0071,C,68.0
West Pine Middle,Sandhills,35.2248,-79.5295,B,76.0
J C Sawyer Elementary,Northeast,36.2892,-76.2112,D,46.0
Lingerfeldt Elementary,Southwest,35.2407,-81.1924,F,37.0
Rockingham County High,Piedmont Triad,36.3859,-79.7407,C,69.0
Millingport Elementary,Southwest,35.3784,-80.2987,B,75.0
Leesville Road High,North Central,35.89009,-78.7186,B,80.0
Apple Valley Middle,Western,35.3619,-82.4219,D,51.0
Nash Everywhere Digital Academy (NEDA),North Central,35.9285,-77.81888,D,46.0
Hopewell Elementary School,Piedmont Triad,35.8632,-80.009,B,71.0
Charles H Darden Middle,North Central,35.719,-77.8861,F,38.0
East Franklin Elementary,Western,35.1894,-83.3714,C,60.0
Ahoskie Elementary,Northeast,36.29468,-76.99369,D,52.0
Wilburn Elementary,North Central,35.8215,-78.5749,D,47.0
Wilson's Mills Elementary,North Central,35.58355,-78.35823,C,59.0
Silver Valley Elementary,Piedmont Triad,35.733,-80.102,D,53.0
Tuscola High,Western,35.5229,-82.9513,B,77.0
Lincoln Academy,Piedmont Triad,36.0618,-79.7664,C,64.0
McDeeds Creek Elementary,Sandhills,35.21275,-79.37636,B,84.0
Elon Park Elementary,Southwest,35.02299,-80.84314,A,85.0
Winstead Avenue Elementary,North Central,35.9513,-77.8468,F,38.0
Asheville High,Western,35.5729,-82.5531,B,75.0
Ledford Senior High,Piedmont Triad,35.9631,-80.1343,C,63.0
Berryhill School,Southwest,35.2128,-80.9905,F,39.0
Perquimans County Middle,Northeast,36.2217,-76.4719,C,60.0
Hunter Elementary,Piedmont Triad,36.05262,-79.85239,D,48.0
Hillandale Elementary,Western,35.27157,-82.42748,D,47.0
Mooresville High School,Southwest,35.5783,-80.8014,B,74.0
Pender High,Southeast,34.5459,-78.0123,D,54.0
R Freeman Sch of Engineering,Southeast,34.2451,-77.9136,F,28.0
Jonathan Valley Elementary,Western,35.532,-83.0313,C,65.0
Rea Farms STEAM Academy,Southwest,35.05487,-80.77954,A,89.0
Sand Hill-Venable Elem,Western,35.5543,-82.64,C,55.0
L Gilbert Carroll ,Sandhills,34.6565,-79.0072,F,39.0
South End Elementary,Piedmont Triad,36.3437,-79.6679,D,43.0
Stanly County Virtual Education,Southwest,35.24044,-80.16414,D,48.0
Deyton Elementary,Northwest,35.9096,-82.0882,C,60.0
Trinity Elementary School,Piedmont Triad,35.8944,-79.9845,D,46.0
Elkin Elementary,Piedmont Triad,36.2456,-80.8545,C,63.0
Lee Woodard Elementary,North Central,35.64,-77.9384,C,63.0
Fairview Elementary,Piedmont Triad,35.9472,-80.0074,D,48.0
Rosman High,Western,35.1433,-82.8205,B,76.0
River Bend Middle,North Central,35.86192,-78.53222,D,46.0
West Henderson High,Western,35.3662,-82.5152,B,81.0
Macon Middle School,Western,35.1627,-83.3591,C,57.0
Topsail High,Southeast,34.39571,-77.68159,A,85.0
Kimberley Park Elementary,Piedmont Triad,36.1161,-80.2539,D,47.0
East Clayton Elementary,North Central,35.6491,-78.4023,C,57.0
Highland Mill Montessori,Southwest,35.2432,-80.8042,B,80.0
Emsley A Laney High,Southeast,34.2987,-77.8725,C,66.0
Chapel Hill High,North Central,35.94653,-79.08017,A,86.0
Randleman Elementary School,Piedmont Triad,35.8096,-79.8009,D,40.0
Challenger Early College High,Northwest,35.6995,-81.2881,A,95.0
Cleveland Elementary,North Central,35.5787,-78.5425,B,75.0
M B Hubbard Elementary,North Central,36.0382,-77.8209,D,48.0
Heyward C Bellamy Elem,Southeast,34.123,-77.9089,B,80.0
A H Snipes Academy of Arts/Des,Southeast,34.2396,-77.9203,D,46.0
FPG Elementary,North Central,35.8997,-79.0725,C,63.0
Rock Ridge Elementary,North Central,35.702,-78.068,A,87.0
Quail Hollow Middle,Southwest,35.1139,-80.8547,D,50.0
Sylvia Mendez Newcomers School,Piedmont Triad,35.9851,-79.99001,,
Onslow Virtual Elementary,Southeast,34.74696,-77.44859,D,45.0
Cape Fear High,Sandhills,35.0345,-78.762,B,79.0
Sycamore Lane Elementary,Sandhills,34.74001,-79.4881,F,34.0
East Elementary,Southwest,34.9781,-80.5325,D,45.0
Hickory Grove Elementary,Southwest,35.22644,-80.71754,F,39.0
Emma B Trask Middle,Southeast,34.3011,-77.8739,C,65.0
Northwoods Elementary,North Central,35.7954,-78.7897,B,71.0
Cabarrus Health Sciences Institute,Southwest,35.43411,-80.60146,A,89.0
Cumberland Road Elementary,Sandhills,35.0211,-78.9111,C,56.0
Laurel Mill Elementary,North Central,36.1915,-78.1729,C,56.0
South Creek Middle,Northeast,35.85535,-77.24766,F,38.0
Ferndale Middle,Piedmont Triad,35.9567,-80.0161,F,37.0
Carpenter Elementary,North Central,35.8144,-78.8665,B,72.0
Warren County High,North Central,36.4327,-78.1654,D,46.0
Johnston Elementary,Western,35.5866,-82.62,F,26.0
Nakina Middle,Sandhills,34.1081,-78.6544,C,61.0
Roger Bell New Tech Academy,Southeast,34.8811,-76.8806,C,60.0
Allen Jay Elementary,Piedmont Triad,35.9323,-79.9556,D,44.0
Vernon Malone College and Career Academy,North Central,35.7527,-78.6431,A,85.0
Tabor City Middle,Sandhills,34.1481,-78.886,D,50.0
Triangle Lake Montessori Elem,Piedmont Triad,35.9559,-79.9724,D,49.0
Harnett Virtual Academy,North Central,35.39756,-78.82298,D,47.0
Newell Elementary,Southwest,35.28661,-80.75369,D,42.0
John J Blair Elementary,Southeast,34.25596,-77.83884,C,64.0
Liberty Middle,Northwest,35.7075,-81.6704,B,73.0
College Lakes Elementary,Sandhills,35.1278,-78.8994,D,48.0
Hospital/Homebound Education Center,Piedmont Triad,36.10901,-80.2204,,
Foothills Community School,Northwest,35.65969,-82.02769,B,72.0
Shiloh Valley Primary School,Southwest,35.0392,-80.6484,C,61.0
Vance Virtual Village Academy,North Central,36.32765,-78.39939,F,33.0
Anne Chesnutt Middle,Sandhills,35.0509,-78.9731,D,44.0
Northeast Middle,Southwest,35.19807,-80.69178,D,42.0
Nash Central High,North Central,35.9558,-77.8981,C,60.0
Southwest Guilford Middle,Piedmont Triad,36.0447,-79.9843,D,53.0
China Grove Middle,Southwest,35.577,-80.5693,D,47.0
Spindale Elementary School,Western,35.3602,-81.9335,C,59.0
Needham Broughton High,North Central,35.7903,-78.6523,B,78.0
Stovall-Shaw Elementary,North Central,36.43825,-78.57656,D,50.0
East Mecklenburg High School,Southwest,35.176,-80.758,C,67.0
Reynolds High,Western,35.5468,-82.4771,B,75.0
Craven Early College High,Southeast,35.11064,-77.09993,A,86.0
Costner Elementary,Southwest,35.3274,-81.2271,C,59.0
Cloverleaf Elementary,Southwest,35.8236,-80.8625,D,51.0
Waxhaw Elementary,Southwest,34.9185,-80.7336,C,69.0
Bostian Elementary,Southwest,35.524,-80.542,C,66.0
Isenberg Elementary,Southwest,35.7015,-80.5037,F,39.0
Barton Pond Elementary,North Central,35.90728,-78.69658,B,75.0
Bearfield Primary,Northeast,36.29675,-76.99382,F,38.0
John M Morehead High,Piedmont Triad,36.5054,-79.7351,C,56.0
Badin Elementary,Southwest,35.4021,-80.1148,C,65.0
Norwayne Middle,Southeast,35.51449,-77.95302,C,62.0
Woodland Heights Middle,Southwest,35.56913,-80.92135,B,76.0
Davis Drive Elementary,North Central,35.7802,-78.8505,A,91.0
Gaston Early College High School,Southwest,35.31232,-81.19049,A,94.0
Erwin Middle,Southwest,35.5953,-80.4238,D,42.0
East Carteret High,Southeast,34.7815,-76.6318,B,77.0
Mount Tabor High School,Piedmont Triad,36.1268,-80.3132,C,59.0
Shoals Elementary,Piedmont Triad,36.3333,-80.5037,B,76.0
Rocky River Elementary,Southwest,35.5494,-80.7825,B,72.0
Westfield Elementary,Piedmont Triad,36.4595,-80.4951,C,63.0
Watauga Virtual Academy,Northwest,36.22972,-81.66048,C,58.0
Bethware Elementary,Southwest,35.2482,-81.4142,C,62.0
Wayne School of Engineering,Southeast,35.3864,-77.9801,B,77.0
North Gaston High,Southwest,35.3344,-81.1775,C,57.0
J E Holmes Middle,Piedmont Triad,36.5056,-79.7386,D,47.0
Thomas Jefferson Middle,Piedmont Triad,36.1164,-80.3206,C,69.0
Efland Cheeks Elementary,North Central,36.0836,-79.1888,C,57.0
Seventy-First High,Sandhills,35.039,-79.0052,C,58.0
Char Eng Early College-UNCC,Southwest,35.30891,-80.74407,A,89.0
Valle Crucis Elementary,Northwest,36.2099,-81.7787,B,72.0
Buncombe County Schools Virtual Academy,Western,35.59414,-82.50478,C,67.0
Granite Falls Elementary,Northwest,35.8071,-81.4348,C,67.0
Tri-County Early College High,Western,35.06655,-83.96584,A,85.0
James E Shepard Middle,North Central,35.9653,-78.8999,C,59.0
Phillips Middle,North Central,36.00168,-77.68596,D,44.0
Lincoln Elementary,Piedmont Triad,36.467,-79.6495,C,62.0
Sedgefield Middle,Southwest,35.1968,-80.8559,C,58.0
Hillsborough Elementary,North Central,36.0804,-79.1105,B,80.0
Whitnel Elementary,Northwest,35.89031,-81.52174,D,40.0
Merrick-Moore Elementary,North Central,36.0056,-78.852,C,60.0
Tarboro High,North Central,35.9014,-77.5583,D,52.0
Cleveland Innovation,Southwest,35.29272,-81.54552,C,57.0
J W Seabrook Elementary,Sandhills,34.9868,-78.7551,C,57.0
White Oak Elementary,Northeast,36.16329,-76.65381,D,47.0
C C Spaulding Elementary,North Central,35.9782,-78.906,F,29.0
Reedy Creek Middle,North Central,35.813,-78.7685,C,67.0
West Wilkes Middle School,Northwest,36.1694,-81.2413,C,60.0
Williams Elementary,Western,35.6042,-82.4029,D,40.0
Brogden Primary,Southeast,35.2724,-78.0359,F,36.0
Davenport A+ School,Northwest,35.9118,-81.5393,C,58.0
Oakwood Elementary ,Northwest,35.7374,-81.3437,B,72.0
Martin Millennium Academy,North Central,35.90745,-77.53671,D,44.0
Leland Middle,Southeast,34.2366,-78.034,D,52.0
Page High,Piedmont Triad,36.1091,-79.7856,C,66.0
Banks Road Elementary,North Central,35.6317,-78.70963,C,62.0
Durant Road Middle,North Central,35.9036,-78.5881,D,47.0
Newport Elementary,Southeast,34.7908,-76.8599,C,67.0
Kenansville Elementary,Southeast,34.9566,-77.9588,D,49.0
Lake Rim Elementary,Sandhills,35.0495,-79.0763,C,55.0
Renaissance West STEAM Academy,Southwest,35.20766,-80.9208,D,51.0
Pamlico County Middle,Southeast,35.1385,-76.7624,C,64.0
Pine Forest Middle,Sandhills,35.1801,-78.8577,C,66.0
Starmount Academy of Excellence,Southwest,35.14002,-80.8707,D,41.0
W M Irvin Elementary,Southwest,35.4181,-80.5533,D,45.0
Luther Nick Jeralds Middle,Sandhills,35.0928,-78.8786,D,47.0
Carver High,Piedmont Triad,36.1346,-80.2079,D,49.0
Andrews Middle,Western,35.1949,-83.7977,C,68.0
Old Richmond Elementary,Piedmont Triad,36.2053,-80.389,B,71.0
Creswell Elementary,Northeast,35.87,-76.3968,D,51.0
Churchland Elementary,Piedmont Triad,35.785,-80.4159,D,54.0
J B Page Primary School,Southwest,35.2347,-81.0316,B,70.0
Meadow Lane Elementary,Southeast,35.36332,-77.9397,C,55.0
Charles E Boger Elementary,Southwest,35.4552,-80.6621,C,63.0
Mac Williams Middle,Sandhills,35.0346,-78.7659,D,54.0
Vance County Middle School,North Central,36.3505,-78.37391,F,32.0
Apex Friendship Elementary,North Central,35.70197,-78.91413,B,84.0
North Elementary,Southwest,35.2551,-81.3403,C,60.0
Stoney Creek Elementary,Southwest,35.3483,-80.7253,D,42.0
Grady Brown Elementary,North Central,36.0517,-79.1266,D,54.0
East Surry High,Piedmont Triad,36.3929,-80.4771,C,68.0
Nathanael Greene Elementary,Piedmont Triad,35.9461,-79.6069,C,66.0
Atkinson Elementary,Western,35.284,-82.4927,B,73.0
Pasquotank Elementary,Northeast,36.2837,-76.2248,D,49.0
C.F. Pope Elementary,Southeast,34.5565,-77.928,D,51.0
Riverside High,Northeast,35.8364,-77.0712,D,49.0
Hobbton Elementary,Sandhills,35.18042,-78.32937,C,69.0
Troutman Middle,Southwest,35.6976,-80.8862,D,46.0
Salisbury High,Southwest,35.6644,-80.4847,D,49.0
Brier Creek Elementary,North Central,35.9015,-78.8049,C,59.0
Vaughan Elementary,North Central,36.4217,-77.9992,D,51.0
East Yancey Middle,Northwest,35.9114,-82.258,C,65.0
Vandalia Elementary,Piedmont Triad,36.01734,-79.77993,F,39.0
Lake Norman Elementary,Southwest,35.5807,-80.8976,B,70.0
Pinnacle Elementary School,Western,35.4658,-82.0075,C,62.0
Apex Middle,North Central,35.726,-78.8484,B,71.0
Franklinton Elementary,North Central,36.0974,-78.462,D,54.0
Woodington Middle,Southeast,35.1592,-77.634,D,54.0
Statesville High,Southwest,35.7927,-80.892,D,48.0
Centennial Campus Middle,North Central,35.7578,-78.6887,D,51.0
Cane River Middle,Northwest,35.9122,-82.3777,B,70.0
Swansboro High,Southeast,34.6982,-77.1544,B,80.0
Creekside Elementary,Northeast,35.5364,-77.4226,D,52.0
Sampson Early College High,Sandhills,34.99039,-78.36088,A,89.0
E O Young Jr Elementary,North Central,36.3969,-78.3295,F,37.0
Bessemer City High,Southwest,35.2972,-81.2814,C,60.0
Southeast Guilford Middle,Piedmont Triad,35.972,-79.6943,C,56.0
Overton Elementary,Southwest,35.6895,-80.4741,F,31.0
Third Creek Middle,Southwest,35.74929,-80.85567,F,27.0
Combs Elementary,North Central,35.7745,-78.7015,B,72.0
Blue Ridge Elementary,Northwest,35.91381,-82.3728,C,65.0
Sherwood Forest Elementary,Piedmont Triad,36.1066,-80.3104,B,83.0
Blue Ridge School,Western,35.1284,-83.1202,C,65.0
Oakdale Elementary,Southwest,35.3007,-80.8969,F,39.0
Baskerville Elementary,North Central,35.95049,-77.77157,F,26.0
Culbreth Middle,North Central,35.8898,-79.0675,C,62.0
Cordova Middle,Sandhills,34.91231,-79.81938,D,54.0
Southwest Elementary,Southeast,34.7327,-77.526,D,51.0
North Ridge Elementary,North Central,35.88118,-78.62283,C,59.0
The Brawley School,Southwest,35.58305,-80.87783,A,86.0
Carroll Middle,North Central,35.8432,-78.6427,D,49.0
Kennedy Middle,Southwest,35.1535,-80.9557,D,48.0
Oaklawn Language Academy,Southwest,35.2512,-80.8503,C,62.0
Springfield Primary,Southwest,35.348,-81.0965,C,58.0
West Rowan Elementary,Southwest,35.72909,-80.6795,D,51.0
Rocky Mount High,North Central,35.93908,-77.83487,D,49.0
James Martin Middle,Southwest,35.29844,-80.76692,F,32.0
Paw Creek Elementary,Southwest,35.2911,-80.9452,C,67.0
J. H. Gunn Elementary,Southwest,35.216,-80.6854,D,41.0
NRM Early College High School,North Central,35.97787,-77.89882,A,87.0
Gov's Village STEM (Upper),Southwest,35.2967,-80.7751,D,50.0
Cedar Grove Elementary,North Central,36.0786,-77.9688,C,56.0
Morris Grove Elementary,North Central,35.9665,-79.1023,B,78.0
Gardners Elementary,North Central,35.7435,-77.7824,B,79.0
Wallace Elementary,Southeast,34.7342,-77.9789,F,36.0
Siler City Elementary,North Central,35.7272,-79.4929,D,51.0
Queens Creek Elementary,Southeast,34.7009,-77.1541,C,56.0
Smith Elementary,North Central,35.7118,-78.6537,D,47.0
Lee County High,North Central,35.4679,-79.1482,C,55.0
Farmville Central High,Northeast,35.59411,-77.56878,C,64.0
Brevard Middle,Western,35.2462,-82.7287,C,68.0
Coastal Elementary,Southeast,34.51405,-77.4911,C,65.0
Rolesville High,North Central,35.9067,-78.44254,C,62.0
York Chester Middle,Southwest,35.25573,-81.19245,D,47.0
Monticello-Brown Summit Elem,Piedmont Triad,36.2184,-79.6744,C,56.0
Parkwood Elementary,Southeast,34.7801,-77.44035,C,67.0
Columbia Middle,Northeast,35.9188,-76.2472,D,49.0
South Charlotte Middle,Southwest,35.0906,-80.799,B,78.0
Madison Middle School,Western,35.8403,-82.7162,C,63.0
North Johnston High,North Central,35.571,-78.1844,B,71.0
East Rockingham Elementary,Sandhills,34.8939,-79.751,D,51.0
Elm City Middle,North Central,35.8078,-77.8585,C,65.0
Wilson Early College Academy,North Central,35.73,-77.896,A,92.0
Oakview Elementary,North Central,35.66197,-78.86597,B,75.0
Beverly Woods Elementary,Southwest,35.1314,-80.8368,B,84.0
North End Elementary,North Central,36.4389,-78.9055,C,67.0
Northwest Middle,Piedmont Triad,36.192,-80.308,F,35.0
Southeast Halifax Collegiate Prep Academ,Northeast,36.2193,-77.5509,D,49.0
LaFayette Elementary,North Central,35.49534,-78.81157,C,66.0
Nash Central Middle,North Central,35.9564,-77.9567,D,44.0
Carrboro Elementary,North Central,35.9149,-79.0786,C,65.0
Randleman High School,Piedmont Triad,35.8265,-79.8211,C,57.0
Mount Energy Elementary,North Central,36.12717,-78.6368,D,50.0
Greenway Park Elementary,Southwest,35.1574,-80.7461,D,48.0
McLeansville Elementary,Piedmont Triad,36.1061,-79.661,D,49.0
Mount Airy High,Piedmont Triad,36.5122,-80.6156,B,72.0
East Lincoln High,Southwest,35.4544,-81.0259,B,73.0
Hawthorne Academy of Health Sciences,Southwest,35.22846,-80.81476,B,70.0
Sampson Middle,Sandhills,34.97355,-78.33212,D,49.0
Whiteville Primary,Sandhills,34.3398,-78.7129,C,55.0
Cape Hatteras Secondary School,Northeast,35.26555,-75.55126,C,68.0
Pasquotank County High,Northeast,36.3655,-76.2735,D,53.0
Mountain View Intermediate,Western,35.1627,-83.3621,D,47.0
Kernodle Middle,Piedmont Triad,36.1335,-79.8746,B,78.0
Dana Elementary,Western,35.3385,-82.3735,D,48.0
Cape Fear Elementary,Southeast,34.4066,-77.9167,D,54.0
Battleground Elementary,Southwest,35.47876,-81.26408,F,35.0
Allenbrook Elementary,Southwest,35.2618,-80.915,B,74.0
Bowman Middle,Northwest,36.01024,-82.15545,C,57.0
Cape Hatteras Elementary School,Northeast,35.259,-75.5517,C,63.0
Central Davidson High,Piedmont Triad,35.7398,-80.2216,C,64.0
Northern Guilford Elementary,Piedmont Triad,36.2284,-79.7671,B,77.0
Wilton Elementary,North Central,36.14546,-78.58121,C,68.0
Zebulon Elementary,North Central,35.8396,-78.3198,D,42.0
Jacobs Fork Middle,Northwest,35.6139,-81.3711,C,66.0
Pittsboro Elementary,North Central,35.71763,-79.18394,C,65.0
James B Dudley High,Piedmont Triad,36.0601,-79.7639,D,49.0
Robbinsville High,Western,35.329,-83.7967,C,62.0
First Flight High School,Northeast,36.0088,-75.6665,B,76.0
Middle College at GTCC-High Point,Piedmont Triad,35.9464,-80.0028,B,81.0
Pender Early College High,Southeast,34.5437,-77.9228,A,97.0
Shelby Middle,Southwest,35.2646,-81.5501,D,47.0
Ranson Middle,Southwest,35.3003,-80.8389,F,28.0
Contentnea-Savannah School,Southeast,35.31975,-77.52118,D,45.0
Whitewater Academy,Southwest,35.28335,-80.9904,C,58.0
Mallard Creek Elementary,Southwest,35.3354,-80.7745,D,48.0
Starmount Middle,Piedmont Triad,36.1867,-80.7688,C,55.0
Corinth Holders High,North Central,35.7256,-78.3391,B,76.0
Hornets Nest Elementary,Southwest,35.3247,-80.8652,F,37.0
G R Edwards Middle,North Central,35.9356,-77.8226,D,46.0
Edwin A Anderson Elementary,Southeast,34.0982,-77.9145,B,76.0
Jackson Middle,Piedmont Triad,36.04815,-79.82765,D,44.0
Canton Middle,Western,35.527,-82.8423,C,66.0
Hillandale Elementary,North Central,36.0526,-78.9331,D,53.0
Holly Ridge Middle,North Central,35.6547,-78.815,C,69.0
Hendersonville High,Western,35.32141,-82.46422,B,78.0
Malpass Corner Elementary,Southeast,34.5048,-78.055,D,48.0
Stokes,Northeast,35.7168,-77.268,C,55.0
Saluda Elementary School,Western,35.23674,-82.34435,C,69.0
Banoak Elementary,Northwest,35.58221,-81.4166,C,59.0
Wakefield Middle,North Central,35.9455,-78.5695,C,65.0
Lakewood Elementary,North Central,35.9832,-78.9355,D,42.0
Rosewood High,Southeast,35.4156,-78.0752,C,68.0
Sedge Garden Elementary,Piedmont Triad,36.0963,-80.136,C,67.0
College Park Elementary,Southeast,34.23647,-77.86363,D,50.0
Tryon Elementary,Southwest,35.3408,-81.3228,D,44.0
Myers Park Traditional Elem,Southwest,35.1902,-80.8345,C,68.0
Myrtle Grove Middle,Southeast,34.1373,-77.8839,C,66.0
Stanly STEM Early College,Southwest,35.37123,-80.19314,A,93.0
Herbert Akins Road Middle,North Central,35.62137,-78.80365,C,66.0
Walkertown Middle,Piedmont Triad,36.17646,-80.14695,D,46.0
Everetts Elementary S.T.E.M. Academy,Northeast,36.44498,-77.74497,F,32.0
Smoky Mountain High School,Western,35.3536,-83.199,C,67.0
Northern Nash High,North Central,35.9987,-77.8915,C,62.0
Northeastern Randolph Middle School,Piedmont Triad,35.8232,-79.6463,D,51.0
Sumner Elementary,Piedmont Triad,35.9845,-79.8318,D,47.0
R-S Central High School,Western,35.40263,-81.96769,B,73.0
NCVPS,North Central,35.7704,-78.6774,,
Hollister Elementary Leadership Academy,Northeast,36.2575,-77.9424,F,35.0
Nations Ford Elementary,Southwest,35.15618,-80.90613,D,49.0
Beddingfield High,North Central,35.6605,-77.8754,C,64.0
East Bend Elementary,Piedmont Triad,36.2137,-80.5073,D,52.0
Mountain Island Lake Academy,Southwest,35.308,-80.9285,D,44.0
Albert H Bangert Elementary,Southeast,35.0832,-77.0834,B,78.0
Davis Drive Middle,North Central,35.7777,-78.8507,A,89.0
Wakelon Elementary,North Central,35.8549,-78.3365,D,54.0
Benton Heights Elementary,Southwest,34.9935,-80.5533,D,50.0
Glen Alpine Elementary,Northwest,35.72487,-81.77956,C,68.0
South Newton Elementary,Northwest,35.65517,-81.22845,D,49.0
Massey Hill Classical High,Sandhills,35.0311,-78.8949,A,85.0
W A Young Elementary,Northwest,35.719,-81.7662,C,62.0
R Brown  McAllister Elementary,Southwest,35.3976,-80.5665,B,71.0
Mary McArthur Elementary,Sandhills,35.0252,-78.9412,C,55.0
W T Griggs Elementary,Northeast,36.2798,-75.8917,C,68.0
Wilson Academy of Virtual Education,North Central,35.72651,-77.91047,,
Wintergreen Intermediate,Northeast,35.5444,-77.3535,B,78.0
Douglas Byrd Middle,Sandhills,35.0332,-78.9487,D,45.0
South Creek High,Northeast,35.85624,-77.24359,D,44.0
Wagram Elementary,Sandhills,34.88389,-79.36761,D,44.0
Antioch Elementary,Southwest,35.0588,-80.7228,A,87.0
Carver Elementary,North Central,36.36931,-78.32372,D,43.0
Hominy Valley Elementary,Western,35.5345,-82.6643,C,65.0
Oaks Road Academy,Southeast,35.1272,-77.0657,D,44.0
Central Middle School,Northeast,36.43551,-76.72785,D,49.0
