school,region,locale,spg_score,pct_eds
Jack Britt High,Sandhills,City,84.0,38.4
Knotts Island Elementary,Northeast,Rural,74.0,30.4
Edgecombe Early College High,North Central,Rural,88.0,48.9
Holly Grove Middle,North Central,City,79.0,16.9
Baton Elementary,Northwest,Suburb,61.0,66.9
Hiwassee Dam High,Western,Rural,57.0,58.4
East Millbrook Middle,North Central,City,40.0,74.2
Cornatzer Elementary,Piedmont Triad,Rural,62.0,57.8
Albemarle High,Southwest,Rural,48.0,63.9
Holly Springs High,North Central,City,83.0,12.7
North Wilkesboro Elementary School,Northwest,Rural,58.0,68.0
Montclair Elementary,Sandhills,City,54.0,67.5
Roanoke Rapids High School,Northeast,Town,53.0,52.9
Cove Creek Elementary,Northwest,Rural,60.0,50.0
Hudson Elementary,Northwest,Suburb,63.0,71.8
Fallston Elementary,Southwest,Rural,64.0,63.5
Valley Springs Middle,Western,Suburb,67.0,55.1
Dillard Middle,Southeast,Rural,37.0,83.0
Wilkes Central High School,Northwest,Rural,62.0,56.9
Happy Valley Elementary,Northwest,Suburb,48.0,73.5
Hunter Elementary,North Central,City,73.0,26.9
Windsor Park Elementary,Southwest,City,62.0,51.9
Orange High,North Central,Rural,64.0,41.0
South Iredell High,Southwest,Rural,65.0,33.3
Rockwell Elementary,Southwest,Rural,60.0,49.7
Chase High School,Western,Rural,72.0,44.3
Raleigh Road Elementary,Sandhills,City,75.0,38.2
Belmont Elementary School,Northeast,Town,52.0,67.6
Kings Mountain Intermediate,Southwest,Rural,56.0,69.5
Shamrock Gardens Elementary,Southwest,City,60.0,34.7
Pamlico County Primary,Southeast,Rural,62.0,62.5
Southwood Elementary,Southeast,Rural,51.0,58.6
Helena Elementary,North Central,Town,73.0,44.8
Kings Mountain High,Southwest,Rural,64.0,57.6
Duplin Early College High,Southeast,Rural,79.0,47.2
Rose Hill-Magnolia Elementary,Southeast,Rural,33.0,59.2
Jamesville Elementary,Northeast,Rural,62.0,52.6
Sun Valley Middle,Southwest,Rural,54.0,47.1
Southwest Middle,Southwest,Suburb,48.0,66.6
North Stokes High School,Piedmont Triad,Rural,62.0,53.0
Burton Elementary,North Central,City,63.0,55.0
George L Carrington Middle,North Central,City,55.0,72.8
Sunshine Elementary School,Western,Rural,83.0,54.6
Hickory Ridge Middle,Southwest,Rural,86.0,17.0
Cash Elementary,Piedmont Triad,City,63.0,59.0
Shadybrook Elementary,Piedmont Triad,City,63.0,74.0
Scotts Elementary,Southwest,Rural,58.0,72.8
East Elementary,Southwest,Rural,63.0,84.8
Morganton Road Elementary,Sandhills,City,55.0,63.6
Davis-Townsend Elementary,Piedmont Triad,Rural,70.0,52.8
Jesse Wharton Elem,Piedmont Triad,City,69.0,37.6
Heritage Middle,Northwest,Rural,72.0,64.2
E E Miller Elementary,Sandhills,City,60.0,48.3
Sycamore Lane Primary,Sandhills,Town,34.0,74.2
Rocky River Elementary,Southwest,Rural,63.0,75.0
Virginia Williamson Elem,Southeast,Rural,57.0,61.1
Emma Elementary,Western,Suburb,48.0,62.9
Crossroads Arts Sciences Early College,Southwest,Rural,95.0,39.2
Glendale Acres Elementary,Sandhills,City,59.0,59.3
New Salem Elementary,Southwest,Rural,72.0,34.3
G. C. Hawley Middle,North Central,Rural,46.0,61.0
Clayton Middle,North Central,Rural,62.0,56.1
Hope Mills Middle,Sandhills,City,58.0,56.1
Chatham Grove Elementary,North Central,Rural,81.0,18.6
Ceasar Cone Elementary,Piedmont Triad,City,36.0,82.9
New Bridge Middle,Southeast,City,72.0,41.2
Stough Elementary,North Central,City,74.0,31.4
Discovery High School,Northwest,Suburb,85.0,24.5
West Columbus School,Sandhills,Rural,38.0,69.7
North Rowan High,Southwest,Rural,42.0,66.3
Northampton County High School,Northeast,Rural,42.0,78.5
