school,region,locale,spg_score,pct_eds
Wilson's Mills Elementary,North Central,Rural,59.0,76.3
Silver Valley Elementary,Piedmont Triad,Rural,53.0,79.0
Tuscola High,Western,Suburb,77.0,48.7
Lincoln Academy,Piedmont Triad,City,64.0,58.7
McDeeds Creek Elementary,Sandhills,Rural,84.0,17.7
Elon Park Elementary,Southwest,City,85.0,14.1
Winstead Avenue Elementary,North Central,Rural,38.0,80.3
Asheville High,Western,City,75.0,32.7
Ledford Senior High,Piedmont Triad,Rural,63.0,42.7
Berryhill School,Southwest,City,39.0,55.8
Perquimans County Middle,Northeast,Rural,60.0,58.6
Hunter Elementary,Piedmont Triad,City,48.0,74.5
Hillandale Elementary,Western,Suburb,47.0,66.7
Mooresville High School,Southwest,Town,74.0,36.1
Pender High,Southeast,Rural,54.0,71.2
R Freeman Sch of Engineering,Southeast,City,28.0,94.6
Jonathan Valley Elementary,Western,Suburb,65.0,54.1
Rea Farms STEAM Academy,Southwest,City,89.0,14.3
Sand Hill-Venable Elem,Western,Suburb,55.0,77.9
L Gilbert Carroll ,Sandhills,Rural,39.0,74.2
South End Elementary,Piedmont Triad,Town,43.0,74.7
Stanly County Virtual Education,Southwest,Rural,48.0,61.3
Deyton Elementary,Northwest,Rural,60.0,64.6
Trinity Elementary School,Piedmont Triad,Rural,46.0,67.0
Elkin Elementary,Piedmont Triad,Town,63.0,50.7
Lee Woodard Elementary,North Central,Rural,63.0,67.7
Fairview Elementary,Piedmont Triad,City,48.0,78.6
Rosman High,Western,Town,76.0,57.6
River Bend Middle,North Central,City,46.0,75.0
West Henderson High,Western,Suburb,81.0,34.2
Macon Middle School,Western,Rural,57.0,59.3
Topsail High,Southeast,Rural,85.0,21.8
Kimberley Park Elementary,Piedmont Triad,City,47.0,86.9
East Clayton Elementary,North Central,Rural,57.0,55.4
Highland Mill Montessori,Southwest,City,80.0,23.6
Emsley A Laney High,Southeast,City,66.0,41.4
Chapel Hill High,North Central,Suburb,86.0,25.1
Randleman Elementary School,Piedmont Triad,Rural,40.0,78.2
Challenger Early College High,Northwest,Rural,95.0,41.7
Cleveland Elementary,North Central,Rural,75.0,27.9
M B Hubbard Elementary,North Central,Rural,48.0,83.3
Heyward C Bellamy Elem,Southeast,City,80.0,38.6
A H Snipes Academy of Arts/Des,Southeast,City,46.0,88.0
FPG Elementary,North Central,Suburb,63.0,40.6
Rock Ridge Elementary,North Central,Rural,87.0,50.3
Quail Hollow Middle,Southwest,City,50.0,69.3
Onslow Virtual Elementary,Southeast,City,45.0,64.7
Cape Fear High,Sandhills,City,79.0,49.8
Sycamore Lane Elementary,Sandhills,Town,34.0,78.6
East Elementary,Southwest,Rural,45.0,66.0
Hickory Grove Elementary,Southwest,City,39.0,59.5
Emma B Trask Middle,Southeast,City,65.0,46.7
Northwoods Elementary,North Central,City,71.0,27.5
Cabarrus Health Sciences Institute,Southwest,Rural,89.0,33.9
Cumberland Road Elementary,Sandhills,City,56.0,70.7
Laurel Mill Elementary,North Central,Rural,56.0,81.4
South Creek Middle,Northeast,Rural,38.0,67.3
Ferndale Middle,Piedmont Triad,City,37.0,73.8
Carpenter Elementary,North Central,City,72.0,31.3
Warren County High,North Central,Rural,46.0,74.1
Johnston Elementary,Western,Suburb,26.0,70.0
Nakina Middle,Sandhills,Rural,61.0,55.3
Roger Bell New Tech Academy,Southeast,Town,60.0,53.4
Allen Jay Elementary,Piedmont Triad,City,44.0,74.1
Vernon Malone College and Career Academy,North Central,City,85.0,48.6
Tabor City Middle,Sandhills,Rural,50.0,69.2
Triangle Lake Montessori Elem,Piedmont Triad,City,49.0,64.1
Harnett Virtual Academy,North Central,Rural,47.0,65.8
Newell Elementary,Southwest,City,42.0,62.4
John J Blair Elementary,Southeast,City,64.0,58.0
Liberty Middle,Northwest,Rural,73.0,59.3
College Lakes Elementary,Sandhills,City,48.0,70.4
Foothills Community School,Northwest,Rural,72.0,48.9
Shiloh Valley Primary School,Southwest,Rural,61.0,45.0
Vance Virtual Village Academy,North Central,Rural,33.0,14.1
Anne Chesnutt Middle,Sandhills,City,44.0,59.8
Northeast Middle,Southwest,City,42.0,70.8
Nash Central High,North Central,Rural,60.0,64.8
Southwest Guilford Middle,Piedmont Triad,City,53.0,56.3
China Grove Middle,Southwest,Rural,47.0,49.3
Spindale Elementary School,Western,Rural,59.0,71.3
Needham Broughton High,North Central,City,78.0,29.7
Stovall-Shaw Elementary,North Central,Rural,50.0,80.5
East Mecklenburg High School,Southwest,City,67.0,57.7
Reynolds High,Western,Suburb,75.0,44.5
Craven Early College High,Southeast,Town,86.0,42.2
Costner Elementary,Southwest,Suburb,59.0,64.3
Cloverleaf Elementary,Southwest,Rural,51.0,72.8
Waxhaw Elementary,Southwest,Rural,69.0,42.3
Bostian Elementary,Southwest,Rural,66.0,43.3
Isenberg Elementary,Southwest,Rural,39.0,66.7
Barton Pond Elementary,North Central,City,75.0,13.4
Bearfield Primary,Northeast,Rural,38.0,77.6
John M Morehead High,Piedmont Triad,Town,56.0,63.1
Badin Elementary,Southwest,Rural,65.0,56.3
Norwayne Middle,Southeast,Rural,62.0,47.4
Woodland Heights Middle,Southwest,Rural,76.0,22.1
Davis Drive Elementary,North Central,City,91.0,7.5
Gaston Early College High School,Southwest,Suburb,94.0,40.6
Erwin Middle,Southwest,Rural,42.0,57.1
East Carteret High,Southeast,Rural,77.0,46.7
Mount Tabor High School,Piedmont Triad,City,59.0,59.5
Shoals Elementary,Piedmont Triad,Rural,76.0,50.2
Rocky River Elementary,Southwest,Town,72.0,30.2
Westfield Elementary,Piedmont Triad,Rural,63.0,73.1
Watauga Virtual Academy,Northwest,Rural,58.0,37.5
Bethware Elementary,Southwest,Rural,62.0,67.0
Wayne School of Engineering,Southeast,Rural,77.0,25.2
North Gaston High,Southwest,Suburb,57.0,65.1
J E Holmes Middle,Piedmont Triad,Town,47.0,65.1
Thomas Jefferson Middle,Piedmont Triad,City,69.0,44.7
Efland Cheeks Elementary,North Central,Rural,57.0,69.4
Seventy-First High,Sandhills,City,58.0,70.8
Char Eng Early College-UNCC,Southwest,City,89.0,32.4
Valle Crucis Elementary,Northwest,Rural,72.0,45.0
Buncombe County Schools Virtual Academy,Western,Suburb,67.0,52.2
Granite Falls Elementary,Northwest,Suburb,67.0,55.8
Tri-County Early College High,Western,Rural,85.0,62.4
James E Shepard Middle,North Central,City,59.0,78.2
Phillips Middle,North Central,Rural,44.0,74.4
Lincoln Elementary,Piedmont Triad,Town,62.0,67.3
Sedgefield Middle,Southwest,City,58.0,42.9
Hillsborough Elementary,North Central,Rural,80.0,17.6
Whitnel Elementary,Northwest,Suburb,40.0,78.3
Merrick-Moore Elementary,North Central,City,60.0,55.7
Tarboro High,North Central,Rural,52.0,71.0
Cleveland Innovation,Southwest,Rural,57.0,54.8
J W Seabrook Elementary,Sandhills,City,57.0,65.2
White Oak Elementary,Northeast,Rural,47.0,64.5
C C Spaulding Elementary,North Central,City,29.0,61.7
Reedy Creek Middle,North Central,City,67.0,40.3
West Wilkes Middle School,Northwest,Rural,60.0,45.4
Williams Elementary,Western,Suburb,40.0,51.6
Brogden Primary,Southeast,Rural,36.0,71.0
Davenport A+ School,Northwest,Suburb,58.0,83.4
Oakwood Elementary ,Northwest,City,72.0,57.1
Martin Millennium Academy,North Central,Rural,44.0,72.0
Leland Middle,Southeast,Rural,52.0,50.1
Page High,Piedmont Triad,City,66.0,56.0
Banks Road Elementary,North Central,City,62.0,41.7
Durant Road Middle,North Central,City,47.0,65.4
Newport Elementary,Southeast,Rural,67.0,52.2
Kenansville Elementary,Southeast,Rural,49.0,57.3
Lake Rim Elementary,Sandhills,City,55.0,55.7
Renaissance West STEAM Academy,Southwest,City,51.0,75.3
Pamlico County Middle,Southeast,Rural,64.0,50.6
Pine Forest Middle,Sandhills,City,66.0,55.3
Starmount Academy of Excellence,Southwest,City,41.0,89.7
W M Irvin Elementary,Southwest,Rural,45.0,55.0
Luther Nick Jeralds Middle,Sandhills,City,47.0,75.7
Carver High,Piedmont Triad,City,49.0,81.4
Andrews Middle,Western,Rural,68.0,69.1
Old Richmond Elementary,Piedmont Triad,City,71.0,57.3
Creswell Elementary,Northeast,Rural,51.0,82.1
Churchland Elementary,Piedmont Triad,Rural,54.0,68.9
J B Page Primary School,Southwest,Suburb,70.0,29.7
Meadow Lane Elementary,Southeast,Rural,55.0,46.4
Charles E Boger Elementary,Southwest,Rural,63.0,47.1
Mac Williams Middle,Sandhills,City,54.0,57.6
Vance County Middle School,North Central,Rural,32.0,79.2
Apex Friendship Elementary,North Central,City,84.0,5.8
North Elementary,Southwest,Rural,60.0,72.7
Stoney Creek Elementary,Southwest,City,42.0,56.0
Grady Brown Elementary,North Central,Rural,54.0,58.5
East Surry High,Piedmont Triad,Rural,68.0,44.3
Nathanael Greene Elementary,Piedmont Triad,City,66.0,52.5
Atkinson Elementary,Western,Suburb,73.0,46.0
Pasquotank Elementary,Northeast,Rural,49.0,68.1
C.F. Pope Elementary,Southeast,Rural,51.0,83.5
Riverside High,Northeast,Rural,49.0,64.3
Hobbton Elementary,Sandhills,Rural,69.0,55.7
Troutman Middle,Southwest,Rural,46.0,53.2
Salisbury High,Southwest,Rural,49.0,66.0
Brier Creek Elementary,North Central,City,59.0,50.8
Vaughan Elementary,North Central,Rural,51.0,73.6
East Yancey Middle,Northwest,Rural,65.0,60.1
Vandalia Elementary,Piedmont Triad,City,39.0,76.5
Lake Norman Elementary,Southwest,Rural,70.0,18.7
Pinnacle Elementary School,Western,Rural,62.0,62.0
Apex Middle,North Central,City,71.0,22.9
Franklinton Elementary,North Central,Rural,54.0,81.6
Woodington Middle,Southeast,Rural,54.0,60.5
Statesville High,Southwest,Rural,48.0,77.7
Centennial Campus Middle,North Central,City,51.0,64.4
Cane River Middle,Northwest,Rural,70.0,53.4
Swansboro High,Southeast,City,80.0,38.1
Creekside Elementary,Northeast,Rural,52.0,73.4
Sampson Early College High,Sandhills,Rural,89.0,51.1
E O Young Jr Elementary,North Central,Rural,37.0,83.2
Bessemer City High,Southwest,Suburb,60.0,79.3
Southeast Guilford Middle,Piedmont Triad,City,56.0,57.9
Overton Elementary,Southwest,Rural,31.0,71.3
Third Creek Middle,Southwest,Rural,27.0,87.6
Combs Elementary,North Central,City,72.0,40.9
Blue Ridge Elementary,Northwest,Rural,65.0,58.1
Sherwood Forest Elementary,Piedmont Triad,City,83.0,21.7
Blue Ridge School,Western,Rural,65.0,77.2
Oakdale Elementary,Southwest,City,39.0,66.9
Baskerville Elementary,North Central,Rural,26.0,93.4
Culbreth Middle,North Central,Suburb,62.0,35.0
Cordova Middle,Sandhills,Town,54.0,74.7
Southwest Elementary,Southeast,City,51.0,56.7
North Ridge Elementary,North Central,City,59.0,39.8
The Brawley School,Southwest,Rural,86.0,9.0
Carroll Middle,North Central,City,49.0,60.7
Kennedy Middle,Southwest,City,48.0,64.8
Oaklawn Language Academy,Southwest,City,62.0,65.4
Springfield Primary,Southwest,Suburb,58.0,55.4
West Rowan Elementary,Southwest,Rural,51.0,61.4
Rocky Mount High,North Central,Rural,49.0,75.9
James Martin Middle,Southwest,City,32.0,59.9
Paw Creek Elementary,Southwest,City,67.0,56.1
J. H. Gunn Elementary,Southwest,City,41.0,59.8
NRM Early College High School,North Central,Rural,87.0,48.4
Gov's Village STEM (Upper),Southwest,City,50.0,76.3
Cedar Grove Elementary,North Central,Rural,56.0,84.6
Morris Grove Elementary,North Central,Suburb,78.0,22.9
Gardners Elementary,North Central,Rural,79.0,71.7
Wallace Elementary,Southeast,Rural,36.0,58.2
Siler City Elementary,North Central,Rural,51.0,86.9
Queens Creek Elementary,Southeast,City,56.0,49.6
Smith Elementary,North Central,City,47.0,69.0
Lee County High,North Central,Town,55.0,60.8
Farmville Central High,Northeast,Rural,64.0,56.5
Brevard Middle,Western,Town,68.0,57.2
Coastal Elementary,Southeast,City,65.0,31.8
Rolesville High,North Central,City,62.0,48.6
York Chester Middle,Southwest,Suburb,47.0,77.6
Monticello-Brown Summit Elem,Piedmont Triad,City,56.0,69.7
Parkwood Elementary,Southeast,City,67.0,51.8
Columbia Middle,Northeast,Rural,49.0,61.7
South Charlotte Middle,Southwest,City,78.0,22.7
Madison Middle School,Western,Rural,63.0,57.7
North Johnston High,North Central,Rural,71.0,61.9
East Rockingham Elementary,Sandhills,Town,51.0,76.5
Elm City Middle,North Central,Rural,65.0,57.2
Wilson Early College Academy,North Central,Rural,92.0,42.7
Oakview Elementary,North Central,City,75.0,15.6
Beverly Woods Elementary,Southwest,City,84.0,19.5
North End Elementary,North Central,Town,67.0,67.1
Northwest Middle,Piedmont Triad,City,35.0,71.7
Southeast Halifax Collegiate Prep Academ,Northeast,Rural,49.0,77.0
LaFayette Elementary,North Central,Rural,66.0,41.3
Nash Central Middle,North Central,Rural,44.0,65.5
Carrboro Elementary,North Central,Suburb,65.0,34.6
Randleman High School,Piedmont Triad,Rural,57.0,57.6
Mount Energy Elementary,North Central,Rural,50.0,56.9
Greenway Park Elementary,Southwest,City,48.0,55.6
McLeansville Elementary,Piedmont Triad,City,49.0,55.5
Mount Airy High,Piedmont Triad,Town,72.0,52.5
East Lincoln High,Southwest,Rural,73.0,29.7
Hawthorne Academy of Health Sciences,Southwest,City,70.0,61.5
Sampson Middle,Sandhills,Town,49.0,52.5
Whiteville Primary,Sandhills,Town,55.0,76.2
Cape Hatteras Secondary School,Northeast,Town,68.0,48.7
Pasquotank County High,Northeast,Rural,53.0,51.5
Mountain View Intermediate,Western,Rural,47.0,68.6
Kernodle Middle,Piedmont Triad,City,78.0,39.4
Dana Elementary,Western,Suburb,48.0,80.5
Cape Fear Elementary,Southeast,Rural,54.0,74.0
Battleground Elementary,Southwest,Rural,35.0,66.7
Allenbrook Elementary,Southwest,City,74.0,71.3
Bowman Middle,Northwest,Rural,57.0,63.5
Cape Hatteras Elementary School,Northeast,Town,63.0,53.0
Central Davidson High,Piedmont Triad,Rural,64.0,48.3
Northern Guilford Elementary,Piedmont Triad,City,77.0,17.1
Wilton Elementary,North Central,Rural,68.0,55.4
Zebulon Elementary,North Central,City,42.0,71.8
Jacobs Fork Middle,Northwest,Rural,66.0,48.2
Pittsboro Elementary,North Central,Rural,65.0,44.3
James B Dudley High,Piedmont Triad,City,49.0,70.2
Robbinsville High,Western,Rural,62.0,67.3
First Flight High School,Northeast,Town,76.0,28.5
Middle College at GTCC-High Point,Piedmont Triad,City,81.0,69.7
Pender Early College High,Southeast,Rural,97.0,36.4
Shelby Middle,Southwest,Rural,47.0,82.2
Ranson Middle,Southwest,City,28.0,66.0
Contentnea-Savannah School,Southeast,Rural,45.0,67.7
Whitewater Academy,Southwest,City,58.0,59.1
Mallard Creek Elementary,Southwest,City,48.0,73.2
Starmount Middle,Piedmont Triad,Rural,55.0,64.8
Corinth Holders High,North Central,Rural,76.0,31.8
Hornets Nest Elementary,Southwest,City,37.0,62.7
G R Edwards Middle,North Central,Rural,46.0,82.1
Edwin A Anderson Elementary,Southeast,City,76.0,40.1
Jackson Middle,Piedmont Triad,City,44.0,72.0
Canton Middle,Western,Suburb,66.0,57.4
Hillandale Elementary,North Central,City,53.0,67.0
Holly Ridge Middle,North Central,City,69.0,25.7
Hendersonville High,Western,Suburb,78.0,43.3
Malpass Corner Elementary,Southeast,Rural,48.0,86.7
Stokes,Northeast,Rural,55.0,52.1
Saluda Elementary School,Western,Rural,69.0,40.9
Banoak Elementary,Northwest,Rural,59.0,57.6
Wakefield Middle,North Central,City,65.0,27.2
Lakewood Elementary,North Central,City,42.0,52.4
Rosewood High,Southeast,Rural,68.0,43.9
Sedge Garden Elementary,Piedmont Triad,City,67.0,57.7
College Park Elementary,Southeast,City,50.0,70.2
Tryon Elementary,Southwest,Suburb,44.0,67.5
Myers Park Traditional Elem,Southwest,City,68.0,37.4
Myrtle Grove Middle,Southeast,City,66.0,54.9
Stanly STEM Early College,Southwest,Rural,93.0,39.7
Herbert Akins Road Middle,North Central,City,66.0,29.6
Walkertown Middle,Piedmont Triad,City,46.0,63.2
Everetts Elementary S.T.E.M. Academy,Northeast,Rural,32.0,75.7
Smoky Mountain High School,Western,Rural,67.0,54.6
Northern Nash High,North Central,Rural,62.0,58.3
Northeastern Randolph Middle School,Piedmont Triad,Rural,51.0,59.9
Sumner Elementary,Piedmont Triad,City,47.0,70.6
R-S Central High School,Western,Rural,73.0,46.3
Hollister Elementary Leadership Academy,Northeast,Rural,35.0,71.5
Nations Ford Elementary,Southwest,City,49.0,48.5
Beddingfield High,North Central,Rural,64.0,75.0
East Bend Elementary,Piedmont Triad,Rural,52.0,74.8
Mountain Island Lake Academy,Southwest,City,44.0,72.5
Albert H Bangert Elementary,Southeast,Town,78.0,50.9
Davis Drive Middle,North Central,City,89.0,12.5
Wakelon Elementary,North Central,City,54.0,72.0
Benton Heights Elementary,Southwest,Rural,50.0,90.5
Glen Alpine Elementary,Northwest,Rural,68.0,76.8
South Newton Elementary,Northwest,Suburb,49.0,74.7
Massey Hill Classical High,Sandhills,City,85.0,42.4
W A Young Elementary,Northwest,Rural,62.0,78.4
R Brown  McAllister Elementary,Southwest,Rural,71.0,38.1
Mary McArthur Elementary,Sandhills,City,55.0,71.9
W T Griggs Elementary,Northeast,Rural,68.0,57.3
Wintergreen Intermediate,Northeast,Rural,78.0,37.1
Douglas Byrd Middle,Sandhills,City,45.0,72.8
South Creek High,Northeast,Rural,44.0,73.2
Wagram Elementary,Sandhills,Town,44.0,78.6
Antioch Elementary,Southwest,Rural,87.0,9.2
Carver Elementary,North Central,Rural,43.0,80.1
Hominy Valley Elementary,Western,Suburb,65.0,51.0
Oaks Road Academy,Southeast,Town,44.0,66.7
Central Middle School,Northeast,Rural,49.0,55.5
Bryan Road Elementary,North Central,City,71.0,41.5
Table Rock Middle,Northwest,Rural,46.0,71.9
Howard L Hall Elementary,Sandhills,City,59.0,39.1
Bunn Elementary,North Central,Rural,58.0,71.8
Monroe Middle,Southwest,Rural,35.0,87.6
Lucy S. Herring Elementary,Western,City,61.0,52.0
Millis Road Elementary,Piedmont Triad,City,68.0,59.1
Harkers Island Elementary,Southeast,Rural,65.0,49.6
Hayesville Primary School,Western,Rural,71.0,65.5
North Duplin Jr Sr High,Southeast,Rural,63.0,46.8
Koontz Elementary,Southwest,Rural,35.0,76.6
Early College,Western,Suburb,89.0,61.3
H J MacDonald Middle,Southeast,Town,53.0,54.6
North Rowan Elementary,Southwest,Rural,26.0,72.9
West Caldwell High,Northwest,Suburb,58.0,70.6
Morehead Montessori,North Central,City,74.0,36.3
Fuquay-Varina Elementary,North Central,City,66.0,36.7
Central Wilkes Middle School,Northwest,Rural,55.0,50.4
Oak Grove High,Piedmont Triad,Rural,77.0,30.0
Sugarloaf Elementary,Western,Suburb,59.0,80.5
Troy Elementary,Sandhills,Rural,49.0,76.5
Bruce H. Tharrington Primary ,Piedmont Triad,Town,63.0,55.7
Gamewell Middle,Northwest,Suburb,41.0,82.2
Grandview Middle ,Northwest,City,52.0,77.7
South Edgecombe Middle,North Central,Rural,46.0,65.8
Cabarrus Early College of Technology,Southwest,Rural,92.0,32.9
Long Mill Elementary,North Central,Rural,68.0,56.7
Walter Bickett Elementary,Southwest,Rural,43.0,66.5
Cox Mill Elementary,Southwest,Rural,87.0,9.4
Jarvisburg Elementary,Northeast,Rural,69.0,56.4
Hobbton High,Sandhills,Rural,68.0,55.5
Indian Trail Elementary,Southwest,Rural,70.0,49.6
Township Three Elementary,Southwest,Rural,43.0,82.2
William Amos Hough High,Southwest,City,83.0,18.2
Clinton High,Sandhills,Town,58.0,44.1
North Belmont Elementary,Southwest,Suburb,71.0,59.5
East Robeson Primary,Sandhills,Rural,77.0,71.0
Western Rockingham Middle,Piedmont Triad,Town,62.0,64.4
Warrenwood Elementary,Sandhills,City,46.0,69.0
Randolph Middle,Southwest,City,71.0,46.4
Franklin Elementary,Piedmont Triad,Rural,60.0,73.9
Southern Elementary,Piedmont Triad,City,60.0,78.0
China Grove Elementary,Southwest,Rural,35.0,68.6
Mineral Springs Middle,Piedmont Triad,City,21.0,76.6
West Mecklenburg High School,Southwest,City,45.0,56.6
Weaverville Elementary,Western,Suburb,79.0,49.5
Riverside High,North Central,City,64.0,51.5
East Wake High,North Central,City,63.0,63.3
Monroeton Elementary,Piedmont Triad,Town,51.0,65.9
Pilot Mountain Elementary,Piedmont Triad,Rural,66.0,58.0
Enka Intermediate,Western,Suburb,49.0,69.1
Southern School of Energy and Sustainabi,North Central,City,48.0,50.6
Central Elementary,Southwest,Rural,40.0,74.3
Holly Springs Elementary,North Central,City,83.0,17.4
E K Powe Elementary,North Central,City,56.0,49.9
Forest Pines Drive Elementary,North Central,City,68.0,57.0
East Wilkes Middle School,Northwest,Rural,55.0,46.6
Shady Grove Elementary,Piedmont Triad,Rural,69.0,23.3
Princeville Elementary,North Central,Rural,48.0,84.5
Stoney Creek Elementary,Piedmont Triad,Rural,50.0,65.7
Cumberland Academy K-5 Virtual School,Sandhills,City,45.0,5.8
William R Davie Elementary,Piedmont Triad,Rural,63.0,55.0
Selwyn Elementary,Southwest,City,85.0,16.1
Winecoff Elementary,Southwest,Rural,46.0,76.0
Terrell Lane Middle,North Central,Rural,54.0,79.1
Mint Hill Elementary School,Southwest,City,54.0,61.6
Swain County High School,Western,Rural,62.0,52.9
West Rowan Middle,Southwest,Rural,38.0,57.8
Cotswold Elementary,Southwest,City,59.0,52.1
West Cary Middle,North Central,City,82.0,26.1
South Elementary,Piedmont Triad,Rural,46.0,62.7
Kings Mountain Middle,Southwest,Rural,63.0,67.8
South Davie Middle,Piedmont Triad,Rural,51.0,67.6
Ballentine Elementary,North Central,City,74.0,30.9
Freedom High,Northwest,Rural,66.0,65.4
Harrisburg Elementary,Southwest,Rural,70.0,27.6
Ashley Elementary,Sandhills,City,59.0,52.9
Spring Hill Middle,Sandhills,Town,41.0,71.2
H H Beam Elementary,Southwest,Suburb,32.0,77.7
Pembroke Elementary,Sandhills,Rural,48.0,73.1
North Stanly High,Southwest,Rural,57.0,49.9
Piney Grove Middle School,Piedmont Triad,Rural,65.0,59.5
West View Elementary,North Central,Rural,62.0,48.0
Wrightsboro Elementary,Southeast,City,43.0,71.8
Enka High,Western,Suburb,73.0,58.9
Belmont Central Elementary,Southwest,Suburb,70.0,31.5
Northwest Elementary,Southeast,Rural,62.0,46.1
North Buncombe Elementary,Western,Suburb,69.0,53.6
Troutman Elementary,Southwest,Rural,65.0,51.9
Corriher Lipe Middle,Southwest,Rural,39.0,65.9
Rowan Co Early College,Southwest,Rural,85.0,47.8
Briarcliff Elementary,North Central,City,72.0,33.9
Ignite Online Academy,North Central,City,51.0,16.5
Love Memorial Elementary,Southwest,Rural,55.0,72.4
Harris Middle,Northwest,Rural,53.0,62.0
Northwest Cabarrus Middle,Southwest,Rural,63.0,58.7
West Marion Elementary School,Northwest,Rural,58.0,69.6
Salemburg Elementary,Sandhills,Rural,56.0,69.3
Dabney Elementary,North Central,Rural,48.0,76.6
Williamston Primary,Northeast,Rural,43.0,72.5
The JP Knapp ECH (i)School,Northeast,Rural,90.0,21.3
Midway Elementary,Sandhills,Rural,58.0,51.1
Western Union Elementary,Southwest,Rural,67.0,40.0
Hot Springs Elementary,Western,Rural,68.0,70.5
Prospect Elementary,Southwest,Rural,66.0,49.9
Northside High,Southeast,City,66.0,55.3
Bolton Elementary,Piedmont Triad,City,50.0,80.5
Moncure School,North Central,Rural,61.0,47.1
Lee Early College,North Central,Town,94.0,42.6
Jacksonville Commons Middle,Southeast,City,48.0,63.9
Timber Drive Elementary,North Central,City,52.0,60.4
Concord Middle,Southwest,Rural,42.0,60.4
Scotland Early College High,Sandhills,Town,83.0,40.0
Phillip O Berry Academy of Technology,Southwest,City,74.0,64.5
Shallotte Middle,Southeast,Rural,52.0,58.5
Owen Middle,Western,Suburb,52.0,62.8
Oakley Elementary,Western,Suburb,44.0,51.2
Graham A Barden Elementary,Southeast,Town,58.0,73.9
Saint Pauls Elementary,Sandhills,Rural,41.0,66.9
Perry W Harrison Elementary,North Central,Rural,79.0,32.3
Jacksonville Commons Elem,Southeast,City,39.0,69.5
Vance Elementary,North Central,City,60.0,33.6
North Elementary,Piedmont Triad,Rural,46.0,65.1
Crest High,Southwest,Rural,69.0,56.2
Reid Ross Classical High,Sandhills,City,72.0,74.8
Thomasville High,Piedmont Triad,City,47.0,65.7
Smith Farm Elementary,Piedmont Triad,City,46.0,64.6
South Pine Academy,Southwest,City,48.0,83.3
Phillips Middle,North Central,Suburb,75.0,30.9
Trindale Elementary School,Piedmont Triad,Rural,68.0,66.0
Margaret Hearne Elementary,North Central,Rural,60.0,91.3
Gillespie Park Elementary,Piedmont Triad,City,35.0,85.0
Sand Ridge Elementary,Southeast,City,58.0,57.3
North Forest Pines Elementary,North Central,City,65.0,38.5
Clear View Elementary ,Southeast,City,43.0,54.4
Rolesville Elementary,North Central,City,71.0,35.7
"Martin Luther King, Jr Middle",Southwest,City,28.0,54.9
Camden Intermediate,Northeast,Rural,73.0,24.8
Parkwood Elementary,North Central,City,47.0,70.0
Fuller Elementary,North Central,City,69.0,34.3
Eastern Wayne Elementary,Southeast,Rural,40.0,68.4
South Johnston High,North Central,Rural,62.0,55.4
Palisades High School,Southwest,City,60.0,49.7
Stateside Elementary,Southeast,City,44.0,40.8
North Garner Middle,North Central,City,53.0,56.5
Asheville Middle,Western,City,57.0,49.7
Crain's Creek Middle,Sandhills,Rural,49.0,50.6
Weaverville Primary,Western,Suburb,79.0,41.7
Lowell Elementary,Southwest,Suburb,60.0,73.6
Walnut Cove Elementary School,Piedmont Triad,Rural,54.0,73.8
Fremont STARS Elementary,Southeast,Rural,46.0,50.2
Tommy's Road Elementary,Southeast,Rural,41.0,60.4
Davidson Early College,Piedmont Triad,Rural,87.0,37.5
Johnson Street Global Studies,Piedmont Triad,City,37.0,72.9
Union Pines High,Sandhills,Rural,68.0,32.9
Vienna Elementary,Piedmont Triad,City,82.0,29.4
Scotts Creek Elementary,Western,Rural,51.0,70.5
Forest Hills Global Elementary,Southeast,City,39.0,78.3
Wilmington Early College High,Southeast,City,91.0,34.8
L J Bell Elementary,Sandhills,Town,59.0,61.3
Bailey Middle,Southwest,City,82.0,21.1
Hawk Eye Elementary,Sandhills,Town,42.0,77.6
Olive Chapel Elementary,North Central,City,84.0,10.6
Southmont Elementary,Piedmont Triad,Rural,58.0,68.3
Northern Guilford High,Piedmont Triad,City,73.0,25.9
Isaac Dickson Elementary,Western,City,60.0,38.3
Hasty Elementary,Piedmont Triad,Rural,70.0,69.6
Guilford Elementary,Piedmont Triad,City,51.0,67.6
Elizabeth City Pasquotank Early College,Northeast,Rural,78.0,40.6
Pumpkin Center Intermediate,Southwest,Rural,67.0,45.3
Crestdale Middle,Southwest,City,70.0,40.1
Fletcher Elementary,Western,Suburb,65.0,53.4
Park View Elementary,Southwest,Town,59.0,51.8
Weeksville Elementary,Northeast,Rural,68.0,50.2
South Lenoir High,Southeast,Rural,54.0,50.0
Northern Middle,North Central,Town,42.0,71.4
Elise Middle,Sandhills,Rural,44.0,85.6
West Pender Middle,Southeast,Rural,48.0,87.8
Butler High School,Southwest,City,72.0,46.0
Garinger High School,Southwest,City,45.0,51.6
First Flight Middle School,Northeast,Town,77.0,33.7
E Lawson Brown Middle,Piedmont Triad,Rural,54.0,62.2
Long Creek Elementary,Southwest,City,55.0,67.6
Druid Hills Academy,Southwest,City,30.0,68.3
Dilworth Elementary School: Latta Campus,Southwest,City,82.0,18.4
Gamewell Elementary,Northwest,Suburb,41.0,82.1
Fuquay-Varina High,North Central,City,78.0,26.0
Middle Creek Elementary,North Central,City,68.0,33.3
Eastover Elementary,Southwest,City,74.0,28.7
Fred T Foard High,Northwest,Rural,67.0,42.4
